 [1] " bugs life may toy story close antz "                                                                                                                                                                                                                                                                                                                                                 
 [2] " really liked antz basically yes clever witty intelligent temerity take chance put woody allen lead perhaps years inspired casting fact something missing im first admit "                                                                                                                                                                                                            
 [3] "maybe never totally lets go takes real innocent fun obsessed orwellian message become totally engaging werent woody allen just really clever goodnotgreat flick "                                                                                                                                                                                                                     
 [4] " bugs life similar premise also disney insure grated totally kids heads like antz bad thing believe also tone thats completely innocent even also remaining perpetually clever "                                                                                                                                                                                                      
 [5] " antz still witty film love bugs life general consumption also entertaining "                                                                                                                                                                                                                                                                                                         
 [6] " broadens horizons really moves ant colony really shows us whole new world weve never seen take evolution bugs lot better one antz "                                                                                                                                                                                                                                                  
 [7] " also light clever "                                                                                                                                                                                                                                                                                                                                                                  
 [8] " visuals instead earth tones bright worldly colors still gives amazing visual technology antz least worthy contender "                                                                                                                                                                                                                                                                
 [9] " characters also nicely realized though watereddown broad consumption still carry wit contemporary disney animated films "                                                                                                                                                                                                                                                            
[10] " lead character flik voiced dave foley nothing slightlyless neurotic z antz foley makes nearly engaging allen made z instead gene hackman playing villain get much menacing kevin spacey lead grasshopper nicelytitled hopper "                                                                                                                                                       
[11] " romantic lead dont get spacey sharon stone intelligent hardtoget julialouis dreyfuss doesnt even come around final frames "                                                                                                                                                                                                                                                          
[12] " plots really better one antz basically yet another redux seven samurai ant colony control giant grasshoppers forcing produce product else "                                                                                                                                                                                                                                          
[13] " flik bone fide inventor creates timeconserving apparatus accidentally destroys seasons donation puts risk sent away wont screw anything pretense searching help fight grasshoppers "                                                                                                                                                                                                 
[14] " runs group warrirors unbeknownst group carnival bugs agree help similar false pretenses "                                                                                                                                                                                                                                                                                            
[15] " bugs equally wonderful assortment anything toy story foppish walking stick slim david hydepierce german caterpillar heimlich joe ranft quicktempered insecure male ladybug francis denis leary pretentious praying mantis manny jonathan harris assistant butterfly hypsy madeliene kahn spider rosie bonnie hunt two fleas tuck roll michael mcshane speak undiscernable jibberish "
[16] " writers lightly touch bugs place bug society malleability thereof making wisecracks everything can blowing audience away wild visual treats "                                                                                                                                                                                                                                        
[17] "grasshoppers jumping unison seems like menacing earthquake "                                                                                                                                                                                                                                                                                                                          
[18] " small bird becomes ominous mortal threat whose usual mildmannered squeal scream death "                                                                                                                                                                                                                                                                                              
[19] " bug city modernday metropolis complete fireflies temping traffic lights fly sitting curb holding cup sign lying next says kid tore wings "                                                                                                                                                                                                                                           
[20] " rainstorm like giant flood drop acting like small bomb dropped millions miles per hour "                                                                                                                                                                                                                                                                                             
[21] "around pixar animators stage several large set pieces like resuce mission halfway wild entertaining anything year wonderfully exciting action piece end chase scene night labyrinthine branches small thicket "                                                                                                                                                                       
[22] "meanwhile character gets spotlight completely idisyncratic interesting something antz couldnt end end credits bugs life pulls final punch clevering antz series incessantly hilarious fauxbloopers come just right time leave immeadiately final frame film left can brag one elite stayed got full moneys worth entertainment "                                                      
[23] "still toy story "                                                                                                                                                                                                                                                                                                                                                                     
[24] " film maybe animated film ive ever seen encompassed almost true perfection story character wit "                                                                                                                                                                                                                                                                                      
[25] " proved didnt need brag cutting edge technology really soar least visually striking three computer animated films thus far still satisfying created perfect world idiosyncratic delights innocent fun "                                                                                                                                                                               
[26] "yet bugs life well antz still amazing films prove without doubt youre gonna make computer animated film send guys created three flicks evne theyre working roof "                                                                                                                                                                                                                     
