 [1] "jerry springer got nothing wild things "                                                                                                                                                                                                                              
 [2] "john mcnaughtons new thriller tackles tawdry themes less two hours springers notoriously sleazy talk show broadcasts two weeks bisexuality threesomes poolside catfights slutty rich bimbos even redneck gatorwrestling theyre part movies raucous complex storyline "
 [3] " even trash tv topicality cant drag wild things crazy campfest plays like something youd find latenight usa network infinitely palatable solid ensemble cast "                                                                                                        
 [4] "despite smattering needless scenes sexual nature theres wicked fun "                                                                                                                                                                                                  
 [5] " wild things guilty pleasure theres guilty feeling involved good time "                                                                                                                                                                                               
 [6] "high school guidance counselor sam lombardo matt dillon wellliked town blue bay especially pretty popular kelly van ryan denise richards whose family name among florida yachting enclaves financially prominent "                                                    
 [7] "hoping take crush physical level kelly seductively slinks lombardos house washing jeep fundraiser next day tearfully admits trollop mother theresa russell raped "                                                                                                    
 [8] " long blue bay detectives ray duquette kevin bacon gloria perez daphne rubinvega listening similar allegations kellys rebel classmate suzie toller neve campbell "                                                                                                    
 [9] "lombardo maintains innocence hires neck bracesporting opportunistic lawyer ken bowden bill murray defend court "                                                                                                                                                      
[10] " previews give away following revelations havent seen movies spots television theater might want skip next paragraph "                                                                                                                                                
[11] " crossexamining suzie witness stand bowden gets break admit alleged rapes never took place kelly concocted entire scheme angry lombardo sleeping mother "                                                                                                             
[12] " pay lombardo damages kellys mother breaks daughters trust fund gives million "                                                                                                                                                                                       
[13] " lombardo kelly suzie actually working together plan take money run fast can "                                                                                                                                                                                        
[14] "duquette perez however begin suspect theres afoot case just false accusations "                                                                                                                                                                                       
[15] " theres major drawback wild things oversexed fault "                                                                                                                                                                                                                  
[16] " muchtalkedabout hotel room menageatrois dillon campbell richards turnoff "                                                                                                                                                                                           
[17] " also cut short sorry guys cut shorter movie grinds halt pure titillation often "                                                                                                                                                                                     
[18] " dont see far effective "                                                                                                                                                                                                                                             
[19] "another example kevin bacon needlessly going full monty shower scene "                                                                                                                                                                                                
[20] "er thanks "                                                                                                                                                                                                                                                           
[21] "also bacons duquette feels simultaneously underdeveloped overwritten "                                                                                                                                                                                                
[22] "daphne rubinvega broadways rent tries compensate superfluous character "                                                                                                                                                                                              
[23] "theresa russell just plain wooden "                                                                                                                                                                                                                                   
[24] " end open ask certain scenes involving three really necessary "                                                                                                                                                                                                       
[25] " keeps movie throwaway junk engaging chain surprises predictable never seems end "                                                                                                                                                                                    
[26] " wild things twists crate full corkscrews gleefully overthetop nasty cant help charmed absurd showmanship "                                                                                                                                                           
[27] " great deal amusement also comes watching bill murray supporting part appears written sly comedic talent murrays stitch especially pulling beside van ryan limo winning lombardos case flipping "                                                                     
[28] " dont leave closing credits hit screen youll miss films best part four bonus flashbacks smooth plot holes offering tiny turns plus final scene caps everything great stunner bombshell "                                                                              
[29] "speaking bombshells denise richards plays almost every scene blue bikini top teen tease thing malicious allure never allowed flaunt starship troopers "                                                                                                               
[30] "matt dillon flexes sleepyvoiced sex appeal pulls personality changes chameleonic precision "                                                                                                                                                                          
[31] "neve campbell lovely ever except sporting blond wig gives suzie vengeful vulnerability makes interesting member conspiring trio "                                                                                                                                     
[32] "reedited toned bit dynamics three actors carried film greater lengths "                                                                                                                                                                                               
[33] " given works well enough "                                                                                                                                                                                                                                            
[34] " wild things highly entertaining indeed wild "                                                                                                                                                                                                                        
