 [1] " bulworth ended allowed sigh relief possible enjoy political satire "                                                                                                                                                  
 [2] " several recent political films didnt whole lot wag dog instance found intelligent heartless film primary colors unbearable unwatchable awfulness "                                                                    
 [3] "bulworth far better film execution lasting impression "                                                                                                                                                                
 [4] " tremendously funny intelligent picture also emotional center writerdirectorstar warren beatty allows audience identify character turn like actually care story "                                                      
 [5] " "                                                                                                                                                                                                                     
 [6] "beatty plays incumbent democratic senator jay billington bulworth film opens see bulworth sobbing watches television spots "                                                                                           
 [7] " hasnt slept days eaten almost instantaneously goes insane "                                                                                                                                                           
 [8] " hes stark raving mad outright anyway hes definitely bonkers "                                                                                                                                                         
 [9] " final weekend campaign assistant murphy oliver platt written speech feed group black people church ghetto "                                                                                                           
[10] " bulworth begins speech suddenly goes track just starts honest "                                                                                                                                                       
[11] " mean one lady asks democratic party doesnt care african american community "                                                                                                                                          
[12] " well shouts laughing isnt obvious "                                                                                                                                                                                   
[13] " story propelled device bulworth puts contract life muses later bad thing make decisions youre suicidal keeps seeing man sunglasses graham beckel believes hitman "                                                    
[14] " bulworth also meets nina halle berry becomes infatuated "                                                                                                                                                             
[15] " suddenly short span weekend bulworths nononsense truth politics methods become national sensation shoots ahead polls despite fact hes appearing television wearing gang clothes spewing profanity coherent sentences "
[16] "beattys work sides camera excellent "                                                                                                                                                                                  
[17] " script direction extremely sharp surprisingly strong characterization bulworth "                                                                                                                                      
[18] " man whos reached limit way lashing back screwing entire political structure "                                                                                                                                         
[19] " like film doesnt take clear shot political parties affiliations politics general everything run rich although antirich sentiments get bit tiresome end film "                                                         
[20] " segments simply hilarious lengthy rap delivers luncheon dedicated "                                                                                                                                                   
[21] "much film completely absurd thats fun part "                                                                                                                                                                           
[22] " angry serious film core package beatty created much accessible recent attempts genre "                                                                                                                                
[23] " adds feeling beattys portrayal bulworth performance deserves recognition higher scale "                                                                                                                               
[24] " beatty much fun watch hes always funny hes also subtle ways flesh character without dialogue hugely noticeable actions "                                                                                              
[25] " beatty good bulworth despite shortcomings human entirely sympathetic likable character almost beginning "                                                                                                             
[26] " supporting cast vast colorful "                                                                                                                                                                                       
[27] "berry luminous always adds repertoire solid supporting roles "                                                                                                                                                         
[28] "don cheadle good role drug dealer uses guntoting toddlers dirty work "                                                                                                                                                 
[29] "oliver platt actor careful someday fear may induce heart attack intensity acting though hes funny watch paul sorvino adds southern accent list mastered inflections "                                                  
[30] " bulworth offensive "                                                                                                                                                                                                  
[31] " suppose may see way "                                                                                                                                                                                                 
[32] " wasnt offended film hardly care politics "                                                                                                                                                                            
[33] " think people find film offensive will just blindsided honesty story "                                                                                                                                                 
[34] " film isnt perfect course ending didnt quite work scenes bulworth nina feel forced although eclectic dance sequence fantastic "                                                                                        
[35] " minor quibbles otherwise brilliant film "                                                                                                                                                                             
[36] "bulworth smart uproariously funny picture proves political satire can scratch far deeper surface "                                                                                                                     
