 [1] "ingredients pouring rain small flooded town damn burst bad guys going millions dollars "                                                                    
 [2] "synopsis one point story townsperson karen asks hero tom happened church "                                                                                  
 [3] " replies something like church flooded least floodwaters put big fire "                                                                                     
 [4] "well fire wasnt bad since church burning looters apparently thought safe enough break priceless stained glass windows "                                     
 [5] " hard rain small town nearly deserted due flooding "                                                                                                        
 [6] "everyone evacuate raining now floodwaters rising high buildings submerged nearby dam break "                                                                
 [7] "enter working class smartalecky new armored car driver named tom christian slater "                                                                         
 [8] "suddenly security truck carrying three million dollars gets stuck flooded street waylaid armed looters "                                                    
 [9] "tom choice grab bag full money hide swim life "                                                                                                             
[10] " makes action movie full jet skis speedboat chases gun battles tom tries evade outsmart corrupt cops armed looters national guard can answer distress call "
[11] " befriended aided spunky churchgoing young woman town named karen minnie driver "                                                                           
[12] " unknown tom karen national guard never heard toms initial distress call "                                                                                  
[13] "will tom karen survive natural manmade disasters "                                                                                                          
[14] "opinion dont expect thoughtprovoking issues dramatics "                                                                                                     
[15] "theres much movie hiding running swimming shooting saving handcuffed heroes drowning thats makes escapist fun "                                             
[16] "relax take shoes break popcorn "                                                                                                                            
