 [1] " tailor panama different kind spy movie "                                                                                                                                                
 [2] "despite presence pierce brosnan nary hint james bond flash "                                                                                                                             
 [3] "instead big action scenes leering super villains emptyheaded femme fatales get interesting characters intriguing situation "                                                             
 [4] "based novel john le carr also cowrote screenplay film offers viewers something rarely seen theaters time year solid welltold story "                                                     
 [5] "brosnan plays andy osnard british operative walking thin ice "                                                                                                                           
 [6] " british superiors ship panama making sure understands better screw placement "                                                                                                          
 [7] "osnard arrives tropics virtually oozing contempt new coworkers new home base "                                                                                                           
 [8] " shown bridge americas person marveling fact since creation panama canal structure sole connection north south america barely keeps yawning "                                            
 [9] "brosnan clearly relishes chance antithesis investing suave spy distinct reptilian quality coupled air indifference irks fellows end "                                                    
[10] "searching way get information government osnard sets sights harry pendel geoffrey rush unctuous tailor serving panamanian elite "                                                        
[11] "harry claims transplant britains renowned saville row osnard knows secret tailor excon served five years prison torching uncles shop insurance scam "                                    
[12] " also knows harry ears debt spent fortune unsuccessful farm "                                                                                                                            
[13] "osnard offers harry way "                                                                                                                                                                
[14] " will pay information harry gathered upscale clientele "                                                                                                                                 
[15] "eager comply harry offers knows starts concocting tidbits keep money flowing "                                                                                                           
[16] " long forced spy loving wife louisa jamie lee curtis aide canal director "                                                                                                               
[17] "harrys little lies build eventually taking life "                                                                                                                                        
[18] "osnard turns reports silent opposition group threatening upset balance control canal "                                                                                                   
[19] " bogus revelation proves explosive leading meetings washington d c best protect vital waterway "                                                                                         
[20] "meanwhile osnard wallows newfound status enjoying best city offer wooing attractive coworker "                                                                                           
[21] " harry grows ever fretful fearing consequences clients mention wife learn lies "                                                                                                         
[22] "geoffrey rush wonderful harry fawning customers day savoring rich family life evenings playing secret agent hours new benefactor "                                                       
[23] "rush makes harry credible figure presenting various levels character effectively remains sympathetic despite duplicity "                                                                 
[24] " gaining fame playing larger life characters rush flips everything around role using energy depict quiet desperation man slowly realizing solution troubles may worse original problems "
[25] "although gets far little screen time jamie lee curtis imbues louisa depth greater screenplay provides "                                                                                  
[26] " central characters one exhibits maturity genuine selfconfidence "                                                                                                                       
[27] "curtis one favorite female actors whiplash smart sultry charismatic deserves supporting roles "                                                                                          
[28] "speaking supporting characters great ones "                                                                                                                                              
[29] "harold pinter amusing harrys uncle benny pops throughout story number creative ways "                                                                                                    
[30] "also shoring proceedings jon polito corrupt banker dylan baker riot united states general straight dr strangelove school armed patriotism "                                              
[31] " important secondary performers leonor varela brendan gleeson outstanding two wounded activists "                                                                                        
[32] " presence adds weight story reminding us beyond charades leading men real people suffered greatly politics connected canal "                                                             
[33] "director john boorman adds additional verisimilitude shooting film location "                                                                                                            
[34] "instead using panama city merely colorful backdrop adroitly weaves footage aspects life "                                                                                                
[35] " metropolis described one character casablanca without heroes pulsates life underling folly two foreigners playing dangerous games disastrous impact great many people "                 
[36] " tailor panama succeeds principals behind bright enough make simple entertainment "                                                                                                      
