 [1] "kadosh means sacred hebrew "                                                                                                                                                                                                    
 [2] "amos gitais fictional work spending career documentaries grim story failed hasidic marriage even though marriage loving one "                                                                                                   
 [3] " marriage will symbolize clash cultures modern israel native israelis modern viewpoint toward religion political savvy hasidics intolerable one groups vying control secular government "                                       
 [4] "gitai devarimyom yom labor party leftist believes rigid hasidic ever got control government sound death knell israel "                                                                                                          
 [5] " emphasis film ultraorthodox jews sect live letter torah everything subjugate women accept vision gods law males view "                                                                                                         
 [6] " ever got control country intolerant attitude subjugate country way women "                                                                                                                                                     
 [7] " story takes place jerusalems jewish quarters called mea shearim taken sinewy back streets placards pasted walls crowded apartments prayer rooms protagonists live idea proper jewish life much different way jews live israel "
 [8] " controversial film women unhappy male attitudes extreme patriarchal ones film bound anger viewers matter belief "                                                                                                              
 [9] " slowmoving meticulous film grabs hold collar never lets go "                                                                                                                                                                   
[10] " force seen though filmed objective manner never taking cheap shot hasidim nevertheless bound leave questions nature practice strict observance "                                                                               
[11] " film meant critical rigid people implies kill spirit everything touch extreme phobic attitudes makes impossible unite country cant present live harmony people even impossible imagine living arab neighbors peace "           
[12] " film opens meir rises dawn goes prayer ritual every prayer made virtues god "                                                                                                                                                  
[13] " even thanks god didnt make woman "                                                                                                                                                                                             
[14] " wife rivka accepts fate born looks next bed sleeps separately according hasidic custom "                                                                                                                                       
[15] " looks glistening eyes questioning laws rebelling secondary role religion keeps studying talmud modern conveniences life seeing movies tv "                                                                                     
[16] "meir talmudic scholar "                                                                                                                                                                                                         
[17] " father abu warda rabbi yeshiva "                                                                                                                                                                                               
[18] " married ten years wife able give child "                                                                                                                                                                                       
[19] "since hasidim look upon womans role life conceive children cook clean house man mans role spend time prayer therefore insurmountable problem otherwise loving marriage "                                                        
[20] " receives anonymous letter states woman without child better dead "                                                                                                                                                             
[21] "meirs response written like talmud "                                                                                                                                                                                            
[22] "meirs father tells marriage contract must broken man dies without progeny rips page torah "                                                                                                                                     
[23] " blame placed rivka thought unpure reason barren "                                                                                                                                                                              
[24] " will go countless ritual baths cleanse rigid mother koenig dunks holy water says ritual prayer times dunked homage tribes israel "                                                                                             
[25] " religion doesnt permit examined extensively doctor "                                                                                                                                                                           
[26] "rivka goes sly finds husband sterile tell religion "                                                                                                                                                                            
[27] " meirs father chooses younger woman son exiled live alone cold apartment jewish quarters "                                                                                                                                      
[28] "rivkas spirited younger sister malka want get married wants live liberated life "                                                                                                                                               
[29] " long time romantic relationship fellow hasidic yaakov "                                                                                                                                                                        
[30] " way raised still virgin "                                                                                                                                                                                                      
[31] " yaakov joined israeli army fight lebanon something sect allowed thereby banished sect even though still believer "                                                                                                             
[32] " now works singer nightclub "                                                                                                                                                                                                   
[33] "malkas mother worried daughter wont get married arranges rabbi marry yossef someone doesnt love "                                                                                                                               
[34] "yossef stern follower order also political activist drives around city soundtruck bullhorn urging jews stick together fight godless enemies "                                                                                   
[35] " two sisters close languidly discuss options rivka telling sister accept marriage will make happy malka reluctantly forced accepting plans ruin bogus marriage "                                                                
[36] " harshest scene film malkas wedding night "                                                                                                                                                                                     
[37] "yossef prays god child robotically gets malka spread legs without least bit affection nervousness shown part function supplies goes inside rams hard thrusting away act completed retiring without word gesture love "          
[38] " sisters choices like everyone else life "                                                                                                                                                                                      
[39] " choices obliterated ones beliefs circumstances inward nature difficult carry choices goes completely way one brought "                                                                                                         
[40] " sisters choices life death ones "                                                                                                                                                                                              
[41] "gitai closing daily rituals tight living quarters closeknit community shown difficult choices never seen another world kept dark life "                                                                                         
[42] " film ends forlorn malka walking atop jerusalem looking upon outsider everything seems strange things thought set stone now harsh memories made choice price choice heavy indeed "                                              
