 [1] "curdled deliciously dark witty black comedy humour wont appeal everyone "                                                                                                                           
 [2] " specific let give example "                                                                                                                                                                        
 [3] " know pulp fiction jules vincent go brain detail marvin head accidentally get separated "                                                                                                           
 [4] " thought completely tasteless unfunny dont see curdled "                                                                                                                                            
 [5] " hand found sequence pretty funny sense humour curdled aimed "                                                                                                                                      
 [6] " films heroine gabriela played angela jones woman obssessively curious murder serial killers even keeps scrapbook news articles "                                                                   
 [7] "luckily miami plagued serial killer rampage scrapbook getting pretty big "                                                                                                                          
 [8] " killers nickname press blue blood killer preys older rich socialite women hes played william baldwin spoiler "                                                                                     
 [9] "one particularly striking m o "                                                                                                                                                                     
[10] " blue blood killer propensity decapitate victims "                                                                                                                                                  
[11] "gabriela watching television one day spots advertisement firm whose line work perfectly attuned interests "                                                                                         
[12] " immediately quits job signs pfcs stands postforensic cleaning service "                                                                                                                            
[13] " points guessing "                                                                                                                                                                                  
[14] " workmates confused gabrielas fascination murder just day job "                                                                                                                                     
[15] "theres hilarious locker room scene debate whether decapitated heads can talk say "                                                                                                                  
[16] "gabrielas partner elena played mel gorham particularly perturbed gabrielas wideeyed fascination becomes really upset gabriela volunteers clean blue blood killers latest scene theyre messiest see "
[17] "unbeknownst last victim left something scene id blue blood killer hes also heading "                                                                                                                
[18] " comparison pulp fiction earlier accidental quentin tarantino executiveproduced film began life short film saw film festival "                                                                      
[19] "apparently tarantino impressed helped braddock convert featurelength film "                                                                                                                         
[20] " parallels star curdled angela jones top billing goes william baldwin really jones central character whos probably best known role esmerelda villalobos deathobssessed taxi driver pulp fiction "   
[21] " role written specifically jones based upon similar character aforementioned short film curdled jr "                                                                                                
[22] "jones great curdled shes wonderfully funny maintains amusing wideeyed naive curiousity murder without compromising characters innocence likeability "                                               
[23] " can express much one lift eyebrow "                                                                                                                                                                
[24] " great performance "                                                                                                                                                                                
[25] "reb braddocks direction extremely sharp clever toeing line black humour bad taste "                                                                                                                 
[26] " best scene film outrageously funny sequence involves jones dancing spoiler "                                                                                                                       
[27] " opening credit sequence also inventive amusing "                                                                                                                                                   
[28] " course impossible really take stuff seriously youre really supposed braddock knows audience joke makes fun little romp result "                                                                    
[29] " one drawback curdled based short film feels like material just stretched thin order fulfill feature length running time parts just seem drag "                                                     
[30] " running time already short minutes really stand lose twenty minutes give better pacing "                                                                                                           
[31] "curdled seems destined nice cult film miramax "                                                                                                                                                     
[32] "itll interesting see will appeal mainstream audiences well "                                                                                                                                        
