 [1] " happy bastards quick movie review "                                                                                                                                                                                
 [2] "analyze "                                                                                                                                                                                                           
 [3] " one comedy focused mob "                                                                                                                                                                                           
 [4] "well years ago sly little comedy called freshman marlon brando romp sendup famous don corleone character recently utterly stupid bad way movie mafia "                                                              
 [5] "failed really get joke "                                                                                                                                                                                            
 [6] " time around however warner bros may gotten right analyze movie hits targets misses "                                                                                                                               
 [7] " plenty reasons "                                                                                                                                                                                                   
 [8] " story goes like "                                                                                                                                                                                                  
 [9] " mobster robert deniro finds receiving several panic attacks late fueled stress upcoming mobster meeting neardeath following driveby shooting "                                                                     
[10] " attacks prompt hire psychiatrist billy crystal whos mostly reluctant take mobsters case two reasons "                                                                                                              
[11] "first course hes mobster secondly hes trying get married enjoy quiet honeymoon wife lisa kudrow kid "                                                                                                               
[12] " course cant rest worth moment mobsters goons always needing shrink something quick consultation dream analyzation "                                                                                                
[13] "fortunately movie played plenty laughs "                                                                                                                                                                            
[14] "director harold ramis also helmed comedy multiplicity wasnt half bad keeps tone peppy light even sometimes sprinkled slight dramatic moments shootings cant always taken laughs know "                              
[15] "deniro finest comic work since king comedy giving somewhat similar performance role goodfellas bit lighter heart "                                                                                                  
[16] " scene tries display anger phone fails miserably hilarious "                                                                                                                                                        
[17] "crystal plays excellent straight man deniros character uplifting bombs fathers day giant "                                                                                                                          
[18] "kudrow also hoot crystals wifetobe whos verge breakdown thanks deniros presence "                                                                                                                                   
[19] " movie perfect "                                                                                                                                                                                                    
[20] " really thanks simplistic ending slightly wasted moments character portrayed chazz palminteri hes comic actor come give enjoyable romp lets deniro something different change taking dramatic act new field comedy "
[21] "kudos crystal kudrow just making show either "                                                                                                                                                                      
[22] "line movie crystal said needed family therapy family mind "                                                                                                                                                         
