 [1] " know funnest isnt word "                                                                                                                                                                                                                                           
 [2] " fun noun therefore conjugated like adjective "                                                                                                                                                                                                                     
 [3] " thats word came right viewing chicken run "                                                                                                                                                                                                                        
 [4] " wonder kind movie reduces childish expressions like funnest movie ive ever seen "                                                                                                                                                                                  
 [5] " hell websters chicken run one funnest movies ive seen "                                                                                                                                                                                                            
 [6] " cant remember last time ive seen anything funner "                                                                                                                                                                                                                 
 [7] " chickens tweedys farm something "                                                                                                                                                                                                                                  
 [8] "living concentration camplike atmosphere led one plucky hen called ginger voice julia sawalha continually comes plans escape always gets caught subsequently spending day day coal box "                                                                            
 [9] "one night brash american rooster flies fence calling rocky mel gibson famous flying rooster circus performer "                                                                                                                                                      
[10] "rocky promises teach chickens fly situation grows desperate nefarious mrs tweedy miranda richardson decides abandon farms eggselling plan pieselling plan "                                                                                                         
[11] " orders huge piemaking machine cackling chickens go pies come "                                                                                                                                                                                                     
[12] " sort pies "                                                                                                                                                                                                                                                        
[13] "chicken pies course "                                                                                                                                                                                                                                               
[14] "codirector nick park studio aardman animation produced three oscarwinning short films creature comforts wrong trousers close shave "                                                                                                                                
[15] " latter two second third installments trilogy starring delightful team wallace gromit man dog famous getting increasingly peculiar adventures "                                                                                                                     
[16] "part made wallace films brilliantly entertaining parks uncanny ability make old story seem new "                                                                                                                                                                    
[17] " wrong trousers example pulled lot old hitchcockian suspense tricks close shave owed great deal inspiration classic detective stories "                                                                                                                             
[18] " hands park team stories felt fresh inspired least bit contrived "                                                                                                                                                                                                  
[19] "now teaming codirector peter lord park created similar creature chicken run "                                                                                                                                                                                       
[20] " plot largely lifted great escape watch quick reference ballbouncing scene spielberginspired action sequences providing excitement "                                                                                                                                
[21] "thing film doesnt feel like lifted somewhere else chicken run feels fresh alive like nothing else ever done "                                                                                                                                                       
[22] "part original idea world came idea make prisonersofwar movie starring chickens "                                                                                                                                                                                    
[23] "park lord milk incongruity worth characters treat situation dead serious "                                                                                                                                                                                          
[24] " theyre chickens funny us "                                                                                                                                                                                                                                         
[25] "another thing helps chicken run parks films succeed animators subtle way giving nods films theyre cribbing "                                                                                                                                                        
[26] " references great escape obviously stalag "                                                                                                                                                                                                                         
[27] " chase sequence inside chicken grinder parodies raiders lost ark indiana jones temple doom "                                                                                                                                                                        
[28] "theres even nod blues brothers can believe filmmakers even get little lighthearted ribbing expense star voice actor taking couple subtle jabs mel gibsons nationality film history "                                                                                
[29] " braveheart reference hoot catch "                                                                                                                                                                                                                                  
[30] " consider just fine line resides funny parody redundant one chicken run downright brilliant execution "                                                                                                                                                             
[31] "consider since july last year ive seen dozens upon dozens blair witch project parodies television radio online "                                                                                                                                                    
[32] " maybe one two amusing rest tiresome "                                                                                                                                                                                                                              
[33] " "                                                                                                                                                                                                                                                                  
[34] " got past thought theyre parodying blair witch movie parodies nothing offer insight original idea greater purpose "                                                                                                                                                 
[35] " funny seen movie otherwise got nothing "                                                                                                                                                                                                                           
[36] "conversely chicken run doesnt lean parodies film references never sole focus scene "                                                                                                                                                                                
[37] " youve never seen indiana jones chase sequence still fun "                                                                                                                                                                                                          
[38] "even idea mel gibson rocky remains interesting character "                                                                                                                                                                                                          
[39] "park lord screenwriter karey kirkpatrick realize audience need parody shoved faces understood result chicken run filled visual verbal jabs never obvious quite vague either "                                                                                       
[40] "enjoyment movie doesnt require knowledge film history youve got chicken run much richer "                                                                                                                                                                           
[41] " voice cast turns uniformly lively performances characters play given many subtle nuances hard fall love every one "                                                                                                                                                
[42] "ginger perfect spunky opinionated soft heart forbids leave companions behind julia sawalha known cute mousy girl absolutely fabulous nails "                                                                                                                        
[43] " warm human chemistry gibson whose rocky hides personal doubt brash gungho veneer "                                                                                                                                                                                 
[44] " characters inevitable romance doesnt feel contrived sweet "                                                                                                                                                                                                        
[45] "poor mr tweedy tony haygarth suspects chickens organizing way limited intellect prevents figuring things overbearing wife certainly isnt help "                                                                                                                     
[46] "jane horrocks delivers lovely voice characterization tragically optimistic babs hen runs away best oneliners perpetually crocheting sweater two supplytrading rats seem walked straight monty python sketch nearly steal show lively central swingdancing sequence "
[47] " even come inspired riff something thats baffled scholars theologians alike decades chicken vs egg dilemma "                                                                                                                                                        
[48] "one might expected inevitable joke come wearisome chicken run comes delightful surprise "                                                                                                                                                                           
[49] " film manages cross barriers accessible children adults brits yanks rats chickens "                                                                                                                                                                                 
[50] " animation firstrate "                                                                                                                                                                                                                                              
[51] "remember done oldfashioned way actual humans moving clay figurines around tiny set bit painstaking bit see just truly remarkable chicken run really "                                                                                                               
[52] " movie possesses quality makes pixar studios animation great precise unwavering attention detail "                                                                                                                                                                  
[53] " topnotch family fare bugs life toy story chicken run something offer nearly every frame "                                                                                                                                                                          
[54] "certainly passive viewer can enjoy straightforward story worthwhile moral surprisingly touching scenes active attentive viewers will enjoy even theyll catch details "                                                                                              
[55] "anyway movies just boatload fun "                                                                                                                                                                                                                                   
[56] "funnest damn movie ive seen year "                                                                                                                                                                                                                                  
