 [1] "written john grisham robert altman al hayes "                                                                                                                                            
 [2] "directed robert altman "                                                                                                                                                                 
 [3] " time ago young director given opportunity direct screen version popular novel "                                                                                                         
 [4] " novel summer smash topping bestseller lists across country already drawing speculation popular actors day might play leads "                                                            
 [5] " problem novel wasnt good "                                                                                                                                                              
 [6] " far pulp pulitzer "                                                                                                                                                                     
 [7] " director realized matter pedestrian prose book really grabbed people author great writer fantastic storyteller "                                                                        
 [8] " took project convinced make something happen screen "                                                                                                                                   
 [9] " director "                                                                                                                                                                              
[10] "francis ford coppola "                                                                                                                                                                   
[11] " book course mario puzos godfather "                                                                                                                                                     
[12] " rest say showbiz history "                                                                                                                                                              
[13] " bringing godfather dont mean suggest robert altmans gingerbread man destined level greatness "                                                                                          
[14] " parallel suggest possible create great cinema questionable source material "                                                                                                            
[15] "can get questionable john grisham "                                                                                                                                                      
[16] "depends ask "                                                                                                                                                                            
[17] " theres question grishams work grabs people "                                                                                                                                            
[18] "like puzo grisham better storyteller writer unlike fellow hack michael crichton good idea man cant tell wellconstructed story can spam "                                                 
[19] " something grishams unpublished story cocky savannah lawyer gets involved deadly family squabble drew attention robert altman years old remains one americas greatest living filmmakers "
[20] " result gripping thriller falling short classic cinema deserves place altman canon "                                                                                                     
[21] " opening shot closing credits gingerbread man permeated sense dread fear natural destructive forces universe "                                                                           
[22] " terrific sense mood classic altman touch "                                                                                                                                              
[23] "witness said opening shot see aerial view coastal georgia writhing undulating landscape soundtrack grumbles ominously ear "                                                              
[24] " roll hills town savannah zoom close red sports car speeding bridge driver chatters oblivious cell phone "                                                                               
[25] "right away know driver car surprises "                                                                                                                                                   
[26] "pay attention boys girls shot conceived john grisham altman "                                                                                                                            
[27] " great director can questionable source material "                                                                                                                                       
[28] " sports car belongs rick magruder kenneth branagh aforementioned hotshot attorney specializes police brutality cases "                                                                   
[29] "magruder just won high profile case celebrates night catered party office "                                                                                                              
[30] "outside party meets one waitresses mallory doss embeth davidzt just realizes car stolen "                                                                                                
[31] "driven southern chivalry driving rainstorm unspoken attraction fragile waitress magruder offers ride home "                                                                              
[32] " learns mallorys life bargained "                                                                                                                                                        
[33] " car stolen schizophrenic father dixon robert duvall ted kyzynskistyle whacko stalking terrorizing daughter "                                                                            
[34] "magruder perhaps influenced mallorys decision strip wet clothes front sympathetic plight offers help get father committed right sleeps course "                                          
[35] " simple offer help leads magruder dangerous path black end "                                                                                                                             
[36] " succeeds dixon incarcerated mental hospital moment appears well "                                                                                                                       
[37] " dixons crack team homeless commandos bust lockup suddenly magruder finds mallory children danger "                                                                                      
[38] " cops wont lift finger help liberal attorney "                                                                                                                                           
[39] " allies faithful assistant lois daryl hannah bumbling privateeye sidekick clyde robert downey jr "                                                                                       
[40] " predicament wasnt bad enough hurricane geraldo bearing savannah throwing world chaos "                                                                                                  
[41] "altman may provide atmosphere branaghs performance holds gingerbread man together "                                                                                                      
[42] " accomplished actor isnt directing vanity productions branagh fine job making rick sympathetic hero casting doubt upon motives "                                                         
[43] " offer help mallory act kindness egotism "                                                                                                                                               
[44] "magruder sure place world never considers bitten can chew swallow late "                                                                                                                 
[45] " plot unfolds magruder learns none us secure think "                                                                                                                                     
[46] " life never bad cant get worse "                                                                                                                                                         
[47] " youre familiar altmans work youll recognize several signature techniques "                                                                                                              
[48] "characters introduced establishing shots rather allowed wander background scenes importance becomes apparent "                                                                           
[49] "crucial scenes shot outside windows making audience unwitting voyeurs action "                                                                                                           
[50] "dialog overlaps actors seem slip naturally improvisational style "                                                                                                                       
[51] " course theres favorite altman technique obligatory nude actress shot "                                                                                                                  
[52] "thanks altman actresses ive pleasure seeing naked sally kellerman julianne moore madeline stowe even frances mcdormand "                                                                 
[53] " now can add embeth davidtz looks quite healthy altogether "                                                                                                                             
[54] " naked actress shot become ubiquitous altman film director cameo hitchcock film "                                                                                                        
[55] " oldschool sexism clever injoke "                                                                                                                                                        
[56] " judge "                                                                                                                                                                                 
[57] " back picture hand "                                                                                                                                                                     
[58] " hands mere mortal gingerbread man routine thriller better worse countless others weve endured "                                                                                         
[59] " hands master like altman becomes exercise existential doom way far successful scorseses cape fear remake tried result "                                                                 
[60] " may prevent enduring altmans greatest work weak third act fact really third act grishams story appears altman throw hurricane just jazz things "                                        
[61] " true moments riveting suspense great performances branagh davidzt downey jr enough see "                                                                                                
[62] " polygram hated picture tried steal final cut altman buried marketing campaign won back tell utterly clueless quality studios "                                                          
[63] " probably wanted look like time kill "                                                                                                                                                   
[64] " friends make afraid "                                                                                                                                                                   
