 [1] "note followups directed rec arts movies currentfilms rec arts movies startrek current "                                                                                                                                                     
 [2] " rec arts sf movies "                                                                                                                                                                                                                       
 [3] "moderator "                                                                                                                                                                                                                                 
 [4] "star trek first contact film review michael dequina copyright michael dequina "                                                                                                                                                             
 [5] "star trek first contact pg anyone familiar series star trek movies knows evenodd pattern evennumbered installments series good oddnumbered ones well notsogood "                                                                            
 [6] " pattern continues new star trek first contact energetic scifi adventure coincidentally eighth entry hugely popular series "                                                                                                                
 [7] " first trek feature feature cast members late star trek next generation television series captain jeanluc picard patrick stewart rest thcentury crew starship enterprisecommander will riker jonathan frakes also directed android lt cmdr "
 [8] "data brent spiner lt cmdr "                                                                                                                                                                                                                 
 [9] "geordi laforge levar burton lt cmdr "                                                                                                                                                                                                       
[10] "worf michael dorn dr beverly crusher gates mcfadden counselor deanna troi marina sirtis travel back stcentury earth battle borg race cybernetic beings share collective mind borg queen alice krige "                                       
[11] " borg intend alter history assimilate humankind racestarting earthorbiting crew enterprise st century stowaway alfre woodard "                                                                                                              
[12] " interesting plotline sure mesmerize trekkers everywhere engage everyone else unfortunately makes star trek half script brannon braga ronald d moore "                                                                                      
[13] " half titlefirst contactrefers subplot takes place stcentury earth riker troi laforge meet legendary scientist zephram cochran james cromwell embark first warp speed flight human history directly leads first contact extraterrestrials " 
[14] " story tie main plot pays interestingly end nowhere near involving exciting borg battles enterprise "                                                                                                                                       
[15] " helping matters tiresome cochran character eccentric whose drunken schtick starts funny becomes onenote "                                                                                                                                  
[16] " end though first contact subplot doesnt detract enjoyment film whole "                                                                                                                                                                     
[17] " story typical scifi fantasy conviction castmost notably alwaysphenomenal stewartmakes believe care "                                                                                                                                       
[18] "frakes making feature directorial debut keeps action swiftly rolling along delivers action goods even upping violence notch first trek film bear pg rating greater effect "                                                                 
[19] "st fc bigger budget last trek outing middling star trek generations definitely shows screenthe production design especially visual makeup effects outstanding particular involving borg queen "                                             
[20] "braga moores mostly sharp script will please trek devotees rest references borg storyline tv series continuity previous film e g "                                                                                                          
[21] " ongoing saga datas emotion chip fleeting star trek voyager crossover will make trekkers squeal delight points made easily accessible less familiar trek mythos "                                                                           
[22] "paramount reportedly worried staying power trek franchise next generation cast now carrying helm "                                                                                                                                          
[23] "based entertaining success star trek first contact id say studio nothing worry least cast retires crew wan star trek deep space nine takes "                                                                                                
