 [1] " great things come end dotcom era embodies perfectly "                                                                                                                                                
 [2] "beneath mound bankruptcy paperwork lies remains former dotcom darling company kozmo com "                                                                                                             
 [3] " online convenience store stocked ice cream porn videos basic necessities urban dweller handdelivered couriers within hour "                                                                          
 [4] "designed two college roommates joseph parks year old goldman sachs banker yong kang kozmo flamed three short years raising million venture capital funding partnerships bigwigs starbucks amazon com "
 [5] " december company boasted employees cities barking ceo park attracting kinds media attention "                                                                                                        
 [6] " company set ipo may "                                                                                                                                                                                
 [7] " april day stock market took first big dive ending internet era "                                                                                                                                     
 [8] " april kozmo money ceased operations "                                                                                                                                                                
 [9] "unlike earlier similar documentary startup com chronicled rise fall another dotcom govworks edreams focuses original founders especially park common folks ran daytoday operations "                  
[10] " contrast amazing showing cult persona can convince anyone idea next big thing "                                                                                                                      
[11] " films director wonsuk chin tired die expertly juxtaposes upper management company meetings onthespot interviews bike messengers general managers floor staff kept kozmo humming "                    
[12] " films images give backbone company provide emotional edge ultimate demise "                                                                                                                          
[13] " satisfying part film comes understanding degree expectations numerous ceos commanding titanictype businesses "                                                                                       
[14] " films final interviews park learn happens money dries backers dont return phone calls "                                                                                                              
[15] " end name game profit couldnt make money even dreamers got axe "                                                                                                                                      
[16] "screened th annual mill valley film festival "                                                                                                                                                        
