 [1] " sequels dont theyre supposed like toy story "                                                                                                                            
 [2] "far many end rehashing original adding little "                                                                                                                           
 [3] " wonder sequels fail live predecessors "                                                                                                                                  
 [4] "thankfully toy story wonderful exception "                                                                                                                                
 [5] " cant remember last time saw sequel consistently fun inventive one "                                                                                                      
 [6] " yet another sign pixar acclaimed animation studio behind toy story bugs life still top game "                                                                            
 [7] "woody buzz back sequel hit toy story things changed bit since last one ended "                                                                                            
 [8] "woody voiced tom hanks preparing leave owner andy cowboy camp "                                                                                                           
 [9] " absence assigned buzz lightyear tim allen now comfortable role toy take charge "                                                                                         
[10] "unfortunately woodys trip ruined accidentally put family garage sale stolen overzealous toy collector wayne knight "                                                      
[11] " save buzz members old toy gang including mr potato head don rickles rex nervous dinosaur wallace shawn hamm piggy bank john ratzenberger slinky dog jim varney "         
[12] " captivity woody makes startling discovery actually part collection toys based s childrens show entitled woodys roundup "                                                 
[13] " meets shows characters include jesse joan cusack cowgirl sidekick wise old prospector kelsey grammer bullseye trusty horse "                                             
[14] " anxiously awaiting woodys arrival set completed will sold japanese toy museum finally escape storage forever "                                                           
[15] " means woody now faces difficult choice "                                                                                                                                 
[16] " friends coming rescue go spend years andy go japan immortalized forever "                                                                                                
[17] " original film toy story contains firstrate animation pixar studios done remarkable job improving impressive work "                                                       
[18] "reportedly film originally slated directtovideo release seeing improvements made disney rightly decided release theaters "                                                
[19] " film well worth seeing big screen "                                                                                                                                      
[20] " colors bright textures sharp even human characters look human "                                                                                                          
[21] " animation consistently seamless action fast furious facial expressions believable "                                                                                      
[22] " many impressive sequences id find impossible list particularly wowed scene buzz cohorts must get across busy intersection get al s toy barn store owned woodys captor "  
[23] "pixars rendition family dog also nicely done fur realistic almost feel reach touch "                                                                                      
[24] " voice work also perfectly complementary first movie much help character development "                                                                                    
[25] "tom hanks tim allen disappear roles woody buzz making forget voice "                                                                                                      
[26] " woody buzz tom tim "                                                                                                                                                     
[27] " cast members original reprise roles excellent "                                                                                                                          
[28] "several new voices added joan cusack kelsey grammer wayne knight fine work "                                                                                              
[29] " toy story strong characterization able expand saw first movie "                                                                                                          
[30] "woody faces difficult choices buzz confronted new buzz hasnt yet realized status toy forcing see used like "                                                              
[31] " new characters also developed quite well especially jesse narrates sarah mclachlanaided flashback illustrating loved forgotten owner "                                   
[32] " may computeranimated may sappy music downright touching "                                                                                                                
[33] " script despite story screenplay credited four different writers endlessly clever inventive especially considering sequel "                                               
[34] " reason toy story works movie sequels fail refuses just capitalize originals success redoing story using characters "                                                     
[35] " one "                                                                                                                                                                    
[36] " get character change new characters new issues brought "                                                                                                                 
[37] " toy story also remarkable way keeps reinventing "                                                                                                                        
[38] " always another clever idea waiting just around corner "                                                                                                                  
[39] " humor sharp witty something amuse kids adults "                                                                                                                          
[40] " funny asides films star wars jurassic park among others new takes classic toys like barbie rock em sock em robots appearances pixar efforts bugs life short geri s game "
[41] " geri makes appearance toy repairman fixes woodys broken arm "                                                                                                            
[42] " action fast furious chases street toy store elevator baggage carousel airplane keep getting bigger better "                                                              
[43] " toy story never grows stagnant always something new hold interest "                                                                                                      
[44] " pay attention rewarding "                                                                                                                                                
[45] " rare see film like toy story come along kind film thats almost impossible dislike "                                                                                      
[46] " created purely entertain though enjoy thoughtprovoking drama much next person nice see films still trying exactly movies first tried send us smile "                     
[47] " fair bet whole family will smiles collective faces seeing toy story rare sequel manages expand live original "                                                           
