 [1] "youve got mail works alot better deserves "                                                                                                                                                               
 [2] " order make film success cast two extremely popular attractive stars share screen two hours collect profits "                                                                                             
 [3] " real acting involved original inventive bone body basically complete reshoot shop around corner adding modern twists "                                                                                   
 [4] "essentially goes defies concepts good contemporary filmmaking "                                                                                                                                           
 [5] " overly sentimental times terribly mushy mention manipulative "                                                                                                                                           
 [6] " oh enjoyable manipulation "                                                                                                                                                                              
 [7] " must something casting manipulation makes movie work well absolutely hated previous ryanhanks teaming sleepless seattle "                                                                                
 [8] " couldnt directing films helmed woman "                                                                                                                                                                   
 [9] " havent quite yet figured liked much youve got mail really important "                                                                                                                                    
[10] " like something much even question "                                                                                                                                                                      
[11] " storyline cliched come "                                                                                                                                                                                 
[12] "tom hanks plays joe fox insanely likeable owner discount book chain meg ryan plays kathleen kelley even insanely likeable proprietor familyrun childrens book shop called nice homage shop around corner "
[13] "fox kelley soon become bitter rivals new fox books store opening right across block small business "                                                                                                      
[14] "little know already love internet neither party knows persons true identity "                                                                                                                             
[15] " rest story isnt important serve mere backdrop two stars share screen "                                                                                                                                   
[16] "sure mildly interesting subplots fail comparison utter cuteness main relationship "                                                                                                                       
[17] " course leads predictable climax "                                                                                                                                                                        
[18] " foreseeable ending damn cute welldone doubt movie entire year contains scene evokes much pure joy part "                                                                                                 
[19] " ryan discovers true identity online love filled lack better word happiness first time year actually left theater smiling "                                                                               
