 [1] " essence good will hunting ordinary story told well "                                                                                                                                        
 [2] "taken whole theres little thats special tale follows traditional narrative path leaves audience warm fuzzy feeling never really challenges surprises us "                                    
 [3] " intelligently written dialogue occasionally brilliant strongly directed nicely acted "                                                                                                      
 [4] " good will hunting far lateyear masterpiece worthwhile sample entertainment "                                                                                                                
 [5] "like scent woman released around time season five years ago good will hunting unlikely friendship develops worldweary veteran cocky young man "                                              
 [6] " formula two films similar principals learn slowly break barriers way better understanding life place characters different "                                                                 
 [7] "al pacinos slade largerthanlife individual robin williams sean mcguire much subtle "                                                                                                         
 [8] " matt damons will hunting uses pugnaciousness supplant blandness chris odonnells charlie "                                                                                                   
 [9] "will troubled individual "                                                                                                                                                                   
[10] " child frequent victim abuse "                                                                                                                                                               
[11] " orphan foster homes regular basis "                                                                                                                                                         
[12] "now yet years old accumulated impressive rap sheet "                                                                                                                                         
[13] " short temper little incident can set like spark tinder box "                                                                                                                                
[14] " hes mathematical genius photographic memory ability conceive simple solutions complex problems "                                                                                            
[15] " working janitor mit delights anonymously proving theorems math buildings hall blackboards "                                                                                                 
[16] " one evening anonymity shattered professor lambeau stellan skarsgard catches work "                                                                                                          
[17] "will flees lambeau tracks "                                                                                                                                                                  
[18] "unfortunately time professor finds will jail assaulting police offer "                                                                                                                       
[19] " judge agrees release will two conditions spend one day week meeting lambeau spend one day week meeting therapist "                                                                          
[20] "eventually several psychologists rejected belligerent young man sean mcguire teacher bunker hill community college agrees take case "                                                        
[21] " rocky start two form rapport will begins explore issues emotions walled behind impregnable armor "                                                                                          
[22] " will advances selfawareness sessions sean also learns friendship buddy chuckie ben affleck love harvard coed named skylar minnie driver "                                                   
[23] " script costars matt damon ben affleck groundbreaking piece literature occasionally resorts shameless manipulation "                                                                         
[24] " characters welldeveloped however times dialogue positively sparkles "                                                                                                                       
[25] " one point will comments session sean turning tasters choice moment "                                                                                                                        
[26] "later will gives brilliant breathless diatribe nsa rhythm something written kevin smith "                                                                                                    
[27] " note since smith coexecutive produced good will hunting question input scene "                                                                                                              
[28] "director gus van sant drugstore cowboy die culls genuine emotion actors results several affecting powerful scenes "                                                                          
[29] "theres edginess seanwill therapy sessions offscreen chemistry matt damon minnie driver became romantically linked making film translates effectively movie willskylar relationship electric "
[30] "likewise companionability damon affleck apparent easygoing nature will chuckies friendship "                                                                                                 
[31] "many individual scenes strong enough earn good will hunting recommendation even overall story somewhat generic "                                                                             
[32] "matt damon recently starred idealistic young lawyer rainmaker solid although spectacular will "                                                                                              
[33] "minnie driver last seen grosse pointe blank adds another strong performance growing resume refreshing allowed keep british accent rather attempt american one "                              
[34] " outstanding performance film belongs robin williams whose sean sad wise funny somber "                                                                                                      
[35] "arguably best dramatic work actors career alongside fisher king williams portrayal earn best supporting actor oscar nomination "                                                             
[36] "adequate support provided ben affleck chasing amy stellan skarsgard breaking waves "                                                                                                         
[37] "like comes ending good will hunting completely predictable "                                                                                                                                 
[38] " meeting expectations following familiar path arent always bad things movie provided film accomplishes goals modicum style attention detail "                                                
[39] "good will hunting result earns rating commensurate good title "                                                                                                                              
