 [1] " celebration one elite kind films completely absorbant "                                                                                                                                                                                
 [2] " know sit watch matter youve heard just cant help totally drawn story shocked every single turn occurs "                                                                                                                                
 [3] " prefer films like best kind films like "                                                                                                                                                                                               
 [4] " dont really feel real rules cinema film can anything long makes work "                                                                                                                                                                 
 [5] " ask films one thing common create experiences "                                                                                                                                                                                        
 [6] " watch film matter kind film want able take certain memories along "                                                                                                                                                                    
 [7] " celebration great chock full "                                                                                                                                                                                                         
 [8] " creates world completely realistic everything occurs memorable little instances life catch attention stay rest life "                                                                                                                  
 [9] " makes things just tad bit farscial just make sure youre paying attention transpires just goddam interesting ever feel bored youre attention span needs bit tuningup "                                                                  
[10] " story takes place extravagant home aging patriarch henning mortizen just turned party thrown "                                                                                                                                         
[11] " friends family turn first half hour get introduced everyone simplistically realistically aggravatingly condescending posing camera deals "                                                                                             
[12] " eldest son christian ulrich thomsen looking bit like young malcolm mcdowell first seen film walking fathers home "                                                                                                                     
[13] " brother michael thomas bo larsen drives pulls greets kicks family car forcing walk estate just christian can comfortable "                                                                                                             
[14] " meet helene paprika steen sister woman always seems stressedout invites driver car gbatokai dakinah american come join party shes going "                                                                                              
[15] " theyre settled party begins custom eldest son make speech dad christian stands head table reveals films punchline father raped children young age "                                                                                    
[16] " since familyfriends affair confession becomes detested supposed truth simply brushed despite efforts transpires sorta like jerry springer crossed jean renoir terribly interesting watch "                                             
[17] "twists occur soon film taken nearlyfarsical nature still seems realistic people involved really feel like reach ends "                                                                                                                  
[18] " notorious thing film getting notice though director thomas vinterberg shot completely awkward fashion "                                                                                                                                
[19] " member danish filmmakers clan dogme group vowed oppose auteur concept makeup illusions dramaturgical predictability may purge film inner lives characters justify plot "                                                               
[20] " seen breaking waves notable film member group lars von trier exact celebration works exquisitely department "                                                                                                                          
[21] " feels like reality like youre actually watching real people actors major pointer shot video "                                                                                                                                          
[22] " result looks like home movies never dare shot family actual film always wanted "                                                                                                                                                       
[23] " see key moments peoples lives wouldnt dare show world captures farscial comedy life accurately acutely style ironicallyshowmanship really works perfectly nature film "                                                                
[24] " key though film reason just cool danish import film revealing truth much way people react explosive truth "                                                                                                                            
[25] "throughout film see completely realized debate truth effects lives learned live lies debate threedimensional easily blow oliver stone thetruthatallcosts reasoning water "                                                              
[26] " course right father rape children course couldnt fought back course created scarring suppression inside "                                                                                                                              
[27] " yes thearapeutic one release truth years later know easily destroy one emotionally destroyed earlier "                                                                                                                                 
[28] " father totally bad guy can see emotional complications arise thanks performance mortizen just great touching believe raped children years earlier also see man also learned live hes done deep feels true guilt now beginning surface "
[29] " final scene involving mortizen everyone else utterly devastating thanks thomsen whose performance utterly flawless equally emotionally complex "                                                                                       
[30] "everyone else flawless well actors never seem stepping shoes characters much walking comfortably "                                                                                                                                      
[31] " actors writers made mistake judge characters slightest whites blacks instead grays exactly like life "                                                                                                                                 
[32] " celebration may one truly bizarro film year work art eerily close reality utterly disturbing utterly fascinating "                                                                                                                     
