 [1] "youve heard hype "                                                                                                                                                                                                                 
 [2] "youve seen faces natalie portman professional queen amidala liam neeson schindlers list quigon jinn ewan mcgregor trainspotting obiwan kenobi jake lloyd jingle way young anakin skywalker "                                       
 [3] " youve read reviews youve also probably heard movie fails live magic humanity first trilogy "                                                                                                                                      
 [4] " also may heard ones kiddiefriendly doesnt enough content adults "                                                                                                                                                                 
 [5] "believe hype "                                                                                                                                                                                                                     
 [6] " effects stunning digitalized creatures amazingly realistic lightsaber duels amazing queen amidalas sumptuous robes fit worn queen elizabeth "                                                                                     
 [7] " theres something missing isnt budget effects everything money cant buy "                                                                                                                                                          
 [8] " actors struggle best can flesh broadstroked flat characters "                                                                                                                                                                     
 [9] " successful liam neeson quigon jinn jedi master young obiwan kenobi quiet dignity wise commanding presence "                                                                                                                       
[10] " anchor movie one character george lucas apparently spent time fleshing "                                                                                                                                                          
[11] "portmans queen amidala mcgregors obiwan kenobi dont fare nearly well "                                                                                                                                                             
[12] "amidala future mother luke leia queen peaceful planet invaded trade federation comes stoic stilted caricatured appears though vulcan geisha former life "                                                                          
[13] " obiwan although mcgregor makes endearing little screen time hes nothing robin quigon jinns batman "                                                                                                                               
[14] "however mcgregor struggle manfully infuse surprisingly small supporting role spark genuine insight humanity good job "                                                                                                             
[15] " also absolutely nails alec guiness obiwan episode scottish accent really makes presence film profound might otherwise "                                                                                                           
[16] " fact lucas seems bank preexisting knowledge quite bit thats one problems film "                                                                                                                                                   
[17] " never call star wars fan especially considering means fanatic days ive always enjoyed films along everyone else america "                                                                                                         
[18] "however one person america hasnt seen films even recently doesnt bother brushup names obscure characters may hopelessly lost "                                                                                                     
[19] " example one films main nefarious characters senator palpatine "                                                                                                                                                                   
[20] " recently steeped star wars trivia emperor palpatine scary hooded apparition darth vaders master return jedi empire strikes back "                                                                                                 
[21] " obviously appearance phantom menace meant stir echoes later role series thus making role meaningful "                                                                                                                             
[22] " lot movie like "                                                                                                                                                                                                                  
[23] "rd cpo make token appearances obvious lucas banking audiences preexisting fondness "                                                                                                                                               
[24] " doesnt much add way "                                                                                                                                                                                                             
[25] " goes jabba hutt doesnt look much mean corpulent lazy "                                                                                                                                                                            
[26] "even planets make foreshadowing guest appearances film tatooine desert world luke grew coruscant cloud city empire strikes back alderaan leias home planet never actually see gets blown star wars show mentioned briefly passing "
[27] "whats result tying many plot points characters future films "                                                                                                                                                                      
[28] " answer one seems surprisingly empty "                                                                                                                                                                                             
[29] "theres meat substance makes want love characters will "                                                                                                                                                                            
[30] "another problem actually many alien characters film "                                                                                                                                                                              
[31] " distracted fact two main evil characters strange looking aliens looked like gila monsters mouths barely moved making look like muppets actual characters "                                                                        
[32] " jar jar binks silly roger rabbitish amphibious character intended comic relief really becomes annoying fast "                                                                                                                     
[33] "unlike chewbacca cpo got humanity youll pardon expression interactions human characters jar jar often left interact mostly others kind times making movie seem like nothing expensive teenage mutant ninja turtles "               
[34] "furthermore dialogue often stilted corny sometimes downright infantile thereby rendering characters nothing bystanders plot "                                                                                                      
[35] "oddly isnt just judgment lucas said designed film kids "                                                                                                                                                                           
[36] "well hes done good job "                                                                                                                                                                                                           
[37] " hero film course young anakin hard feel kinship identify eightyearold boy "                                                                                                                                                       
[38] "thats jake lloyds fault though good job cute kid apparently lucas asked "                                                                                                                                                          
[39] "thats another mistake course cute tyke becomes darth vader "                                                                                                                                                                       
[40] "warning spoilers ahead "                                                                                                                                                                                                           
[41] " opinion nearly enough foreshadowing anakins future evil film "                                                                                                                                                                    
[42] " boy blond flowing hair rosy cheeks theres nothing spark aggression throughout entire movie "                                                                                                                                      
[43] " doting mother pernilla august making first english language film slave gross flying gnome tatooine "                                                                                                                              
[44] " indication audience gets kid isnt hearts roses yodas hesitation allowing train jedi quigon jinn "                                                                                                                                 
[45] " explanation "                                                                                                                                                                                                                     
[46] " future clouded "                                                                                                                                                                                                                  
[47] " warning major spoiler ahead "                                                                                                                                                                                                     
[48] "enter risk "                                                                                                                                                                                                                       
[49] " course noble quigon dies hand darth maul scarylooking sith lord excels jedi arts turned dark side "                                                                                                                               
[50] " dude maybe two lines entire movie establishes presence amazing moves doublesided lightsaber scary facial makeup "                                                                                                                 
[51] " quigon never gets chance train young anakin ways force obiwan quigons young padawan apprentice one level knightdom must take training "                                                                                           
[52] " end movie end saga actually begins obiwan kenobi young apprentice anakin darth vader skywalker "                                                                                                                                  
[53] " story need told "                                                                                                                                                                                                                 
[54] " say "                                                                                                                                                                                                                             
[55] " worthwhile movie see "                                                                                                                                                                                                            
[56] "absolutely "                                                                                                                                                                                                                       
[57] " dont enter theater jedisize expectations simply want treated enjoyable visual spectacle movie "                                                                                                                                   
[58] " tatooine pod races triumph effects computer animation "                                                                                                                                                                           
[59] " digitalized backgrounds planets astonishing sight "                                                                                                                                                                               
[60] " yoda young obiwan worth seeing origins simpler happier time "                                                                                                                                                                     
[61] " fun movie "                                                                                                                                                                                                                       
[62] " deep meaningful profound "                                                                                                                                                                                                        
[63] " fun "                                                                                                                                                                                                                             
[64] "maybe next time lucas will hire lawrence kasdan cowrite script guy directed empire will direct "                                                                                                                                   
[65] " lucas next one will lacking one thing needs potential "                                                                                                                                                                           
[66] " "                                                                                                                                                                                                                                 
