 [1] " people hate spice girls "                                                                                                                                       
 [2] " exactly done wrong perhaps offend fashion police "                                                                                                              
 [3] " great singersthey aint singing opera folks pop music "                                                                                                          
 [4] " exactly great singer "                                                                                                                                          
 [5] "judging opening paragraph obvious like spice girls "                                                                                                             
 [6] " dosing catchy tunesand pretty well "                                                                                                                            
 [7] " able carry first film spice world "                                                                                                                             
 [8] " spice world certainly isnt great filmgoing experience "                                                                                                         
 [9] " "                                                                                                                                                               
[10] " "                                                                                                                                                               
[11] " spice girls fun songs lot girl power "                                                                                                                          
[12] "drawing number different films like beatles hard days night spice world chronicles week heading girls first concert londons albert hall "                        
[13] " get tool around london big ol bus driven meat loaf generally fun "                                                                                              
[14] " order semblence plot film evil tabloid publisher played barry humphries better known americans minutes dame edna remember "                                     
[15] " wants sabotage girls concert can sell papers "                                                                                                                  
[16] " course point movie like spice world isnt plot "                                                                                                                 
[17] " center film spice girls ginger recently departed geri haliwell posh victoria adams sporty melanie chisolm scary melanie brown baby emma bunton "                
[18] " one personality perhaps best part film look like honesttogoodness fun something cant said lot people films today "                                              
[19] "along ride richard e grant manager clifford various characters making quick cameo appearances including teriffic british actors like richard briers stephen fry "
[20] " every roger moore pops chief spout odd koans added bonus gets words craig kilborn dance dance dance "                                                           
[21] "watching film fun part "                                                                                                                                         
[22] " slow segments overly director bob spiers keeps things moving quick pace plenty hummable spice girls songs background "                                          
[23] " camerawork fairly pedestrian though final concert number done quite well effective use editing "                                                                
[24] " "                                                                                                                                                               
[25] " look film promotes high fun design spicebus quite original eyecatching "                                                                                        
[26] " add walltowall spice girls music film lovable romp "                                                                                                            
[27] " dont like spice girls wont change mind film "                                                                                                                   
[28] " find least tolerable get ready sit back chill spice girls entertain "                                                                                           
[29] " "                                                                                                                                                               
[30] " "                                                                                                                                                               
[31] " quite well "                                                                                                                                                    
[32] " "                                                                                                                                                               
[33] " spice world "                                                                                                                                                   
[34] " directed bob spiers "                                                                                                                                           
[35] " written kim fuller "                                                                                                                                            
[36] " music spice girls "                                                                                                                                             
[37] " geri halliwell victoria adams melanie chisolm melanie brown emma bunton richard e grant claire rushbrook roger moore "                                          
[38] " distributed columbia pictures "                                                                                                                                 
[39] " running time minutes "                                                                                                                                          
[40] " rated pg "                                                                                                                                                      
[41] " available home video "                                                                                                                                          
[42] " june "                                                                                                                                                          
