 [1] " andromeda strain greatest science fiction film ever made "                                                                                                
 [2] " know sweeping statement ill qualify adding andromeda strain one films made genuinely deserve label science fiction stories speculative science core plot "
 [3] " space odyssey probably better film really qualifies science fiction consider metaphysics science "                                                        
 [4] " films normally classify science fiction sf really just fantasy action horror stories set futuristic setting "                                             
 [5] " andromeda strain starts two soldiers hightech van looking crashed satellite tiny new mexico town "                                                        
 [6] "something bad happens "                                                                                                                                    
 [7] "pictures reconnaissance plane show shocking sight "                                                                                                        
 [8] "apparently everyone town dead "                                                                                                                            
 [9] " authorities call wildfire alert summoning four scientists one somewhat reluctant supersecret underground germ warfare laboratory nevada "                 
[10] "two scientists stone hall fly directly town space suits find town almost every single resident literally dropped tracks blood turned powder veins "        
[11] " went insane died two baby old wino miraculously still alive "                                                                                             
[12] " take survivors satellite back lab stone pressures white house call directive executive order cauterize area around town nuclear bomb "                    
[13] " find satellite get back lab andromeda organism defies normal rules earthlike life mutates grows "                                                         
[14] " hope cure find perfectly healthy baby boy common old derelict "                                                                                           
[15] " find organism feeds directly energy detonating abomb town spread across entire planet "                                                                   
[16] " barely call bombing time "                                                                                                                                
[17] " organism mutates something threatens eat labs defenses break "                                                                                            
[18] " triggers labs lastditch defense mechanism atomic bomb "                                                                                                   
[19] " raised brainless action fare pollutes movie theaters days andromeda strain will probably seem interminably slow "                                         
[20] "much film lot people standing around looking video screens computer readouts "                                                                             
[21] " characters see screens ratchets tension every turn screw "                                                                                                
[22] " performances universally fine actors keeping things lowkey restrained just like scientists "                                                              
[23] " real appeal film fact shows scientists acting like scientists makes seem exciting "                                                                       
[24] " follow logic deduction step methodical step puzzling like every time andromeda behaves way dont expect "                                                  
[25] " film available wide screen dvd way see "                                                                                                                  
[26] " originally rated g first released now carries pg rating mostly mild nudity one scene bodys wrist slashed spilling powdered blood "                        
