 [1] " want know truth cats dogs "                                                                                                                                                      
 [2] " "                                                                                                                                                                                
 [3] "well movie shows us make good companions pale comparison joy fulfillment romantic relationships can bring "                                                                       
 [4] "unfortunately theres giant roadblock set culture certain people can get rest us mill around outside feeling sorry "                                                               
 [5] " checkpoint beautiful kind thing janeane garafolos character abby relates well "                                                                                                  
 [6] "like certain oversized teenage movie critic intelligent great sense humor strikes opposite sex sees physically unattractive men seem backing "                                    
 [7] "meanwhile gorgeous neighbor nora uma thurman "                                                                                                                                    
 [8] "uma womans name worse nora attracts men like flies "                                                                                                                              
 [9] " abby tells burp think cute "                                                                                                                                                     
[10] " barf line hold hair back "                                                                                                                                                       
[11] " noras shallow superficial "                                                                                                                                                      
[12] " prwhen man calls veterinarian abbys talk radio show wanting know get roller skates basset hound "                                                                                
[13] " oh come idiot knows handle problem "                                                                                                                                             
[14] " likes personality professional demeanor asks meet person "                                                                                                                       
[15] "abby though knows body doesnt match personality probably wont chance sees "                                                                                                       
[16] " gives noras body description stands "                                                                                                                                            
[17] "nora happens studio next day dog man comes abby asks big favor "                                                                                                                  
[18] " goes along masquerade three head night fun abby assuming role goat cheese farmer named donna "                                                                                   
[19] " dog man finds even though girl beautiful shes quite intellectual confident person doesnt suspect anything realizing hes living threes company episode "                          
[20] " charade continues abby furthering relationship phone including decidedly unnecessary phone sexmasturbation sequence nora furthering person eventually finding attracted dog man "
[21] "like sleepless seattle comedyromance predictable way care enough characters root will romance blossom "                                                                           
[22] " truth cats dogs isnt quite entertaining expecting handles well theme identify "                                                                                                  
[23] " thing find janeane garafolo rather attractive "                                                                                                                                  
[24] "shes uma im sure real life shed problems attracting men "                                                                                                                         
[25] " hand couldnt attract man save life "                                                                                                                                             
[26] " rather proud fact "                                                                                                                                                              
