 [1] "sometimes just tip hat film "                                                                                                                                                                            
 [2] "sometimes just jump bandwagon enjoy ride "                                                                                                                                                               
 [3] " saw truman show audience full teenagers doubt drawn ace ventura hoping see latest take fart jokes "                                                                                                     
 [4] "surprised may realized picture actually something say "                                                                                                                                                  
 [5] " attentiveness crowd id say won cant tell yet truman really good seems good comparison awful mountain crap spewed forth bowls hollywood far year "                                                       
 [6] "time alone will make call "                                                                                                                                                                              
 [7] " end film truman burbanks side "                                                                                                                                                                         
 [8] " concerned wellbeing wanted win "                                                                                                                                                                        
 [9] " felt tribute film jim carrey achieved legitimacy last "                                                                                                                                                 
[10] " truman show film best viewed cold little foreknowledge possible plot "                                                                                                                                  
[11] "unless youre media blackout however probably know basics "                                                                                                                                               
[12] "carrey stars truman burbank capraesque everyman insurance agent living beautiful wife meryl laura linney south florida island town seahaven looks like michael eisners idea perfect american small town "
[13] "truman seem live perfect middle class lifestyle complete working wife best bud friendly neighbors interesting coworkers "                                                                                
[14] " tragedy past father drowned horrible boating accident leaving truman dreadful fear water travel general overall life good "                                                                             
[15] " one day truman leaves house work klieg light falls magically sky "                                                                                                                                      
[16] " curious event may lead truman discover rest world already knows prisoner worlds biggest soundstage wife friends relatives actors paid interact life days broadcast worlds popular television program "  
[17] " makes first hour truman enjoyable watch magical verisimilitude painstakingly constructed niccol weir "                                                                                                  
[18] " soundstage told second manmade structure visible space "                                                                                                                                                
[19] "trumans movements tracked ceaselessly cameras scattered throughout town button cams dashboard cams mirror cams wife cams big cams small cams "                                                           
[20] "weir cuts film never quite sure watching truman camera director weir camera shows omnipotent creator christof ed harris oversees show control room built manmade moon seahavens sky "                    
[21] " second act offers plethora clues truman truth existence "                                                                                                                                               
[22] " best friend marlon noah emmerich always six pack beer "                                                                                                                                                 
[23] " wife seems exist eternal commercial always endorsing latest hot household product "                                                                                                                     
[24] " sees people walking set patterns town "                                                                                                                                                                 
[25] "one wonders didnt pick earlier christof answer people tend accept reality theyre presented "                                                                                                             
[26] "nevertheless truman begins grow restless dreams escape fiji old college sweetheart natasha mcelhone supposedly lives "                                                                                   
[27] " convincing reality television progenitor reality magical provocative concept best thing jim carrey stay way "                                                                                           
[28] " underplaying truman allows subtle manipulations film take "                                                                                                                                             
[29] " particularly poignant scene truman confides fears marlon marlon answers bestfriend sincerity id gladly step front bus "                                                                                 
[30] " line fed marlon earpiece christof "                                                                                                                                                                     
[31] " abject cruelty truman subjected hits home moment side "                                                                                                                                                 
[32] " truman show derives much success playing secret paranoid fantasies havent least doubted place world doubted sincerity closest us "                                                                      
[33] "ultimately however picture rises artifice raise real questions relationship humankind creator "                                                                                                          
[34] " god really think us "                                                                                                                                                                                   
[35] " resent abandonment paradise "                                                                                                                                                                           
[36] " exactly watching us sky "                                                                                                                                                                               
[37] " enjoy picture much credit weir allowing magic screenplay work "                                                                                                                                         
[38] " carrey well truman burbank kind role jimmy stewart born play "                                                                                                                                          
[39] "carrey jimmy stewart credit doesnt try "                                                                                                                                                                 
[40] " just tries feel way suddenly found whole world watching us "                                                                                                                                            
