 [1] " event events upon us "                                                                                                                                   
 [2] "people waited twentytwo years prequel star wars diehard fans camping theaters months get tickets see "                                                    
 [3] " dont think america will ever actually recover hurricane film caused "                                                                                    
 [4] " bit exaggeration say highly anticipated movie history "                                                                                                  
 [5] "anyone tells just movie either lying clueless "                                                                                                           
 [6] " clearly obvious waiting hype actually seeing movie will anticlimactic "                                                                                  
 [7] " second coming lord live kind buzz far weak word star wars epsode phantom menace effortlessly generated "                                                 
 [8] " mean film bad "                                                                                                                                          
 [9] " fact terrific "                                                                                                                                          
[10] " strongly suspect many people dissappointed simply surrendered media machine inevitable backlash "                                                        
[11] " set decades events original star wars took place "                                                                                                       
[12] " film focuses fledgling republic planets conflict raging trade federation angry tax raise recently put place invaded small peaceful planet naboo "        
[13] " republic sent two jedi knights people can actively communicate affectionately known force quigon jinn liam neeson obiwan kenobi ewan mcgregor negotiate "
[14] "unable stop tide events occur jedi queen naboo natalie portman escape naboo head coruscant try get republic senate intervene "                            
[15] " way get sidetracked planet called tatooine meet movies real focal point young anakin skywalker jake lloyd "                                              
[16] " innocent slave boy force strong qui gon determined take jedi counsel get trained jedi "                                                                  
[17] " selfrespecting star wars fan know anakin will grow darth vader give birth luke skywalker "                                                               
[18] " beginning evident actors movie "                                                                                                                         
[19] "around characters computer generated one form another though effects seamless movie lacks soul "                                                          
[20] " think although computer played incredibly instrumental part moviemaking decade cinema still human art phantom menace nearly defies "                     
[21] " lightest installment star wars saga thus far plenty broad comic relief go around much courtesy irritating knew character named jarjar binks "            
[22] "hes essentially computeranimated sidekick says things like exqueeze "                                                                                     
[23] " mesa go now okeday although often amusing also inherently annoying "                                                                                     
[24] " visual effects astounding although director george lucas often chickens cutting away movie thrilling triumph "                                           
[25] " lacks plot acting makes imagination excitement "                                                                                                         
[26] " climactic lightsaber battle oh come didnt already know among things outrageously entertaining defines term popcorn movie "                               
[27] " made surrender give movie stars score john williams "                                                                                                    
[28] "even though seem like man scores every single movie comes days work nothing short brilliant "                                                             
[29] " use opera climax really add punch ingenious way utilizing imperial march sort prophecy chilling "                                                        
[30] " phantom menace probably effective pop nostalgia "                                                                                                        
[31] " see long time ago galaxy far far away familiar music plays words star wars appear screen youll feel tingle even didnt see movie first came "             
[32] " feels oddly exciting introduced young anakin boy whose innocence know will taken away will soon cross dark side "                                        
[33] " perfect example dramatic irony see jedi masters aspire get trained jedi arts know will harm good "                                                       
[34] " feel involved story feel like seeing beginning saga cherished years "                                                                                    
[35] " phantom menace although lacking human aspects story worthy installment star wars "                                                                       
[36] " works action flick visually eyepopping often paralyzingly exciting also works elicitor memories piece exquisite nostalgia "                              
[37] " eugene novikov "                                                                                                                                         
