 [1] "jackie brown entered theaters little fanfare lot expectation "                                                                                                                                     
 [2] "even though advance publicity one fairly limited audiences waited showings heightened anticipation "                                                                                               
 [3] " first movie quentin tarantino directed since highly touted pulp fiction "                                                                                                                         
 [4] " say inactive tell falsehood since involved projects destiny turns radio desperado four rooms dusk til dawn "                                                                                      
 [5] " also called last minute help punch screenplay crimson tide "                                                                                                                                      
 [6] " im willing wager debate silver surfer true silver surfer penned "                                                                                                                                 
 [7] "tarantino contributed screen films never took directors helm "                                                                                                                                     
 [8] "nearly four years since gaining notoriety hollywood scene making john travolta star tarantino returns film can call "                                                                              
 [9] " film opens homage graduate jackie brown pam grier one airport people movers credits displayed front "                                                                                             
[10] "jackie flight attendant air cabo flies back fourth los angeles cabo san lucas "                                                                                                                    
[11] " makes jackie convenient cash courier gun dealer ordell robbi samuel l jackson currently keeping money stashed mexico "                                                                            
[12] "however bringing fifty thousand dollars back u s ordell jackie apprehended fbi agent mark dargus michael bowen atf agent ray nicolet michael keaton catch money bonus couple ounces illicit drugs "
[13] "jackie didnt know package cash thats consequence authorities threaten jackie couple years hard time convicted "                                                                                    
[14] " course dargus nicolet just using sentence get jackie turn big fish ordell "                                                                                                                       
[15] "ordell uses honest bail bondsman max cherry robert forster get jackie jail max immediately attracted jackie concerned immediate safety since ordell killed last one operatives got picked police " 
[16] "sure enough ordell shows jackies apartment evening tries silence jackie good borrows maxs pistol manages turn tables ordell "                                                                      
[17] "instead closing irony circle relocating bullet pistols chamber ordells head jackie proposes deal "                                                                                                 
[18] "since ordell wants get money mexico jackie will get back old tricks courier time substantial fee fifteen percent ordells half million dollars "                                                    
[19] " gun face can ordell agree "                                                                                                                                                                       
[20] " premise might interesting enough carry film "                                                                                                                                                     
[21] "however also introduced number double crosses make us pay attention think "                                                                                                                        
[22] "jackie claims bringing money ordell shes also making deal feds well max "                                                                                                                          
[23] " film throws us every leading us believe deal thought authentic actually sham way done extent feel jerked around "                                                                                 
[24] "instead actually nice departure predictability prevalent many todays movies "                                                                                                                      
[25] " least film little imagination "                                                                                                                                                                   
[26] " performances jackie brown par "                                                                                                                                                                   
[27] "pam grier never taken notice plays jackie mix confidence vulnerability makes character believable "                                                                                                
[28] "samuel l jackson kind mesmerizing quality handles situations know total control "                                                                                                                  
[29] "robert forster thoroughly likable comes across honest guy trying best "                                                                                                                            
[30] "never mind belongs profession sneaking guys apartment zap stun gun simply matter course "                                                                                                          
[31] "hes just downtoearth nature job really doesnt occur us even shown bringing handcuffed woman prison see tools trade "                                                                               
[32] " supporting roles robert de niro louis gara recently paroled friend ordells bridget fonda melanie one girls ordell keeps around town "                                                             
[33] "unfortunately de niro basically wasted lines far mostly clipped sentences "                                                                                                                        
[34] " film hes really de niro stereotypical de niro uttering things like little bit pretty much "                                                                                                       
[35] "fonda hand plays slightly spacedout melanie satisfactory relish cuteness even annoying louis taking side "                                                                                         
[36] " characteristic film tarantino hand dialog quick snappy "                                                                                                                                          
[37] " grabs attention actually interesting many respects makes jackie brown film needs visuals lines form art amongst "                                                                                 
[38] "dont count tarantino comes using camera however "                                                                                                                                                  
[39] "theres scene max unwittingly watching dry run money exchange hes really sure whats happening composing scene just realization whats going felt simultaneously audience "                           
[40] " look screen think gee thats clever think thing film induced us wonderful feeling catching "                                                                                                       
[41] "although tarantino isnt afraid drag shot dramatic effect unfortunately works varying degrees film "                                                                                                
[42] " shots character simply driving watch person somehow get idea going head "                                                                                                                         
[43] " tribute direction acting "                                                                                                                                                                        
[44] "however least one scene follow jackie mall looking something desperately looking something "                                                                                                       
[45] " get idea frantic nature search follow long end really caring shes looking instead hoping shell just stop "                                                                                        
[46] "overall viewing jackie brown time spent well "                                                                                                                                                     
[47] " flap already made language used film really much worse many movies today "                                                                                                                        
[48] " fact one might even able say way offensive words employed almost cause parody therefore transcend offensiveness "                                                                                 
[49] "go see film see mean "                                                                                                                                                                             
