 [1] "ingredients little orphan boy rural grandparents mountains native american lore "                                                                                                                                                                                                          
 [2] "synopsis loving film portrayal idyllic pivotal time young boy spends grandpa grandma self recollections unseen narrator focus world view tennessee orphan boy learning heritage grandparents "                                                                                             
 [3] " setting first world war great depression years "                                                                                                                                                                                                                                          
 [4] " nineyearold orphan named little tree joseph ashton taken taught wondrous ways woods caucasian moonshiner grandpa james cromwell native american grandma tantoo cardinal wilderness mountains tennessee "                                                                                  
 [5] " little tree learns almost magical appreciation nature farm life experiences beautiful wondrous things sunrise "                                                                                                                                                                           
 [6] "everything miraculous child "                                                                                                                                                                                                                                                              
 [7] " comes crashing boy u s government forcibly takes custody away grandpa grandma forces little tree attend notched gap boarding school kind internment camp multiracial cherokee kids indoctrinated dress pray speak think like white people face solitary confinement corporeal punishment "
 [8] " childhood experiences little tree learns lessons love race life death people nature folk wisdom "                                                                                                                                                                                         
 [9] "opinion excellent excellent family movie "                                                                                                                                                                                                                                                 
[10] " one priceless screen gems nobody knows highly advertised "                                                                                                                                                                                                                                
[11] " wont find formula schlock cutesy characters canned spirituality sequel teasers commercial tie ins will find education little tree refreshing impeccably acted original wonderful touching film "                                                                                          
[12] "take whole family bring box tissues tearjerkers "                                                                                                                                                                                                                                          
[13] " ones good old yeller "                                                                                                                                                                                                                                                                    
