 [1] " april th astonishing shipwreck history world occurred "                                                                                                                                          
 [2] " fateful night titanic sunk "                                                                                                                                                                     
 [3] "now years later film made "                                                                                                                                                                       
 [4] " film "                                                                                                                                                                                           
 [5] "james camerons newest movie landmark storytelling emotion special effects "                                                                                                                       
 [6] " starts present bill paxton band scientists explore depths ships wreckage "                                                                                                                       
 [7] "exploring old chest paxton comes across nude drawing young woman "                                                                                                                                
 [8] " drawing televised woman gloria stuart whose portrait painting comes forward slowly surely ships story told "                                                                                     
 [9] "leonardo dicaprio stars jack dawson young man sketch book heart gold intelligent mind much else wins ticket aboard titanic poker game perfect match rose dewitt bukater kate winslett "           
[10] " grows love jack seems unable escape slimy clutches arranged fiance cal hockley billy zane "                                                                                                      
[11] " film takes time makes us care characters shows us full aspects human emotion "                                                                                                                   
[12] " leads shine bad performance fact seems like performances genuine people trapped doomed vessel facing certain death "                                                                             
[13] "watching film amazed vivid real situations feel time rose jack spend together thirdclassparty naivety jack feels skecthes rose nude terror felt onboard certain doom turns people cowards heroes "
[14] " expensive movie ever made million destined make profit back "                                                                                                                                    
[15] " also emotion warmth film year even decade "                                                                                                                                                      
[16] " also yet another first first million dollar romance every critic country will agree indeed money extremely "                                                                                     
[17] " well "                                                                                                                                                                                           
[18] "spent "                                                                                                                                                                                           
