 [1] "david cronenberg presents us another strange tale crawling impressively twisted head "                                                                                                                                 
 [2] " one many science fiction films released last year millenium tackles issues will play important role future "                                                                                                          
 [3] " story unfolds near future line reality virtual reality blurs "                                                                                                                                                        
 [4] " world future unfriendly place scared inhabitants hiding virtual reality fantasy games escape uncertainty real world "                                                                                                 
 [5] "allegra geller jennifer jason leigh leading game designer world testing new virtual reality game existenz focus group "                                                                                                
 [6] " begin attacked fanatic assassin employing bizarre organic gun "                                                                                                                                                       
 [7] " flees young marketing trainee ted pikul jude law suddenly assigned bodyguard "                                                                                                                                        
 [8] "unfortunately pod organic gaming device contains copy existenz game program damaged "                                                                                                                                  
 [9] " inspect talks ted accepting gameport body can play game "                                                                                                                                                             
[10] " events leading resulting game lead pair strange adventure world individuality doesnt exist players forced perform characters unknown plot "                                                                           
[11] " reality actions impossible determine either games perspective "                                                                                                                                                       
[12] " dont intend reveal films premise structured computer game tasks characters must complete win game "                                                                                                                   
[13] "released matrix dark city existenz similarities parallels connect films "                                                                                                                                              
[14] "however existenz moving different direction premise "                                                                                                                                                                  
[15] " combination dazzling special effects brilliantly coordinated action sequences intelligent sophisticated plot made matrix rare entertaining science fiction experience dark frightening ideas hidden sparkling facade "
[16] " existenz completely different atmosphere resembling dark city darker serious less entertaining "                                                                                                                      
[17] " existenz opportunities potential enormous possibilities never quite explored "                                                                                                                                        
[18] " engaging beginning starts falter "                                                                                                                                                                                    
[19] " watching film many left theatre first hour "                                                                                                                                                                          
[20] " indeed existenz seemed complete failure actors seemed unreal plot dialogue silly unfinished relationships unexplained events followed one another "                                                                   
[21] " last fifteen minutes lifted film complete different level explaining past events silly dialogue unreal performances within scenes "                                                                                   
[22] " jet film fails several issues "                                                                                                                                                                                       
[23] "probably best written character story game designer rather spend rest life virtual world face real life "                                                                                                              
[24] " great possibility create magnificent character jennifer jason leigh stretches cronenbergs script limits fails advantages virtual reality comparison real world never shown "                                          
[25] "existenz world might dream fantasies "                                                                                                                                                                                 
[26] " world worth sacrificing life "                                                                                                                                                                                        
[27] " cold dark place players forced interrelate unreal characters eat mutated creatures even murder will "                                                                                                                 
[28] " doesnt look like place worth even thinking "                                                                                                                                                                          
[29] "david cronenberg creator fly videodrome dead zone hard guess existenz violent gory film "                                                                                                                              
[30] "besides regular murders innocent people audiences can enjoy autopsy twoheaded mutated amfibium "                                                                                                                       
[31] "scenes like become trademark cronenberg seems cant make film without flowing blood foul creatures "                                                                                                                    
[32] " way see films crucial failure "                                                                                                                                                                                       
[33] " impossible cronenbergto create beautiful world time space problems everyday life exist place blooming blossoms green forests clear waters place really worth sacrificing life "                                       
[34] " lack three dimensionality film looses possibilities stays afloat interesting scenes amusing performances especially willem dafoe one interesting important thought depicted many different ways throughout movie "    
[35] " film audience confused characters detached everyday existence longer able see difference real world alternative reality created "                                                                                     
[36] " matrix despite many dark disturbing thoughts ends light end tunnel "                                                                                                                                                  
[37] " existenz "                                                                                                                                                                                                            
[38] " one time experience ending blood gore madness rather frightening forecast tomorrow "                                                                                                                                  
