 [1] "scarface remake film name gripping far know truetolife story power violence lead corruption "                                                                         
 [2] "al pacino tony montana movie named also provides brilliant performance cuban refugee comes america less nothing becomes one highly respected feared drug lords miami "
 [3] "oliver stone also penned screenplay one earlier writing roles "                                                                                                       
 [4] " film begins disclosing story now fidel castro ordered thousands cubans set sail head coasts united states "                                                          
 [5] "many cubans criminal records tony montana cocky fasttalking man look crime "                                                                                          
 [6] "nearly right arrival miami tony thrust gangster life participates cocaine buy goes awry "                                                                             
 [7] "along friend partner manolo steven bauer tony rises gangster ranks forms friendship frank lopez robert loggia highroller organized crime field "                      
 [8] "tony also begins fall love elvira michelle pfeiffer time franks lover "                                                                                               
 [9] " course sooner later industry betrayal corruption amount force greater anything else tony one ones fall victim force "                                                
[10] " becomes one respected often feared men miami "                                                                                                                       
[11] "tony gets point trust anyone everyone knows basically feels way towards "                                                                                             
[12] " one can trust basically one "                                                                                                                                        
[13] "scarface although incredibly violent one best crime films time stands another great performance al pacino "                                                           
[14] "although receive recognition academy performance truly good one "                                                                                                     
[15] " fact accent facial movements alone enough mind win least nomination although get golden globe nomination "                                                           
[16] "another element stands someone mentions film profanity "                                                                                                              
[17] " figure tagged film boasts word fuck uses uttered times throughout film apparently record "                                                                           
[18] " thing vulgarity fits rather well movie "                                                                                                                             
[19] " odd sounds true "                                                                                                                                                    
[20] " end scarface powerful film hits home hard "                                                                                                                          
