 [1] " pleasantly surprised film "                                                                                                                                                                                                 
 [2] " budget topping million quite skeptical whether throwing money toward one twentieth centurys greatest tragedies make film exciting enough see "                                                                              
 [3] " much dress sets "                                                                                                                                                                                                           
 [4] " many models computer effects use "                                                                                                                                                                                          
 [5] " much action pack ship sinks "                                                                                                                                                                                               
 [6] "oh ive just given away part plot go back school "                                                                                                                                                                            
 [7] " viewed titanic however found wellpaced welldesigned overall wellmade movie "                                                                                                                                                
 [8] " many films made maiden final voyage ocean liner titanic latest offering director james cameron best ive seen "                                                                                                              
 [9] "titanic tells story two time periods "                                                                                                                                                                                       
[10] " starts present ocean explorer brock lovett bill paxton team exploring wreckage titanic floor atlantic searching priceless diamond necklace supposedly went ship "                                                           
[11] " find instead drawing woman wearing necklace broadcast news "                                                                                                                                                                
[12] " woman picture recognizes phones lovett flown exploration vessel high seas "                                                                                                                                                 
[13] " tells story lovett team "                                                                                                                                                                                                   
[14] " rose dewitt bukater kate winslett young lady belonging societys upper class boards titanic ships first atlantic crossing southampton england new york "                                                                     
[15] " engaged cal hockley billy zane heir old money snob every sense word "                                                                                                                                                       
[16] " board rose feels stifling trappings highsocietys expectations resolves escape throwing titanics stern saved selfproclaimed fate jack dawson leonardo dicaprio passenger thirdclass steerage referred talks jumping "        
[17] "although rose attraction immediate love affair soon develops two endangers roses social standing well engagement jealous cal "                                                                                               
[18] " story sounds simple perhaps even unexciting solid performances leads good direction cameron good movie comes "                                                                                                              
[19] "dicaprio marvelous young worldlywise jack playing role confidence usually found older actors "                                                                                                                               
[20] " character immediately likable knows wants life charmingly able handle variety situations "                                                                                                                                  
[21] "girls going swoon "                                                                                                                                                                                                          
[22] "winslet also proves good actress delivering lines convincingly quality performances winslet dicaprio makes relationship believable "                                                                                         
[23] " problem winslet carry accordance characters upbringing "                                                                                                                                                                    
[24] "simply judgment gait distracted fact supposed uppercrust debutante "                                                                                                                                                         
[25] "rather demonstrate poise one expect character possess sometimes looks positively clumsy unfortunately detracts otherwise great acting "                                                                                      
[26] "billy zane cast well aristocratic snob cal since certain look immediately makes want hate "                                                                                                                                  
[27] " features even smiles theres something mistrustful scowls evil incarnate "                                                                                                                                                   
[28] "hes something like porcelain version peter gallagher cheaper model "                                                                                                                                                         
[29] "like dicaprio winslet zane slips comfortably role plays well "                                                                                                                                                               
[30] "backing zane david warner lovejoy cals personal assistant man said turn century "                                                                                                                                            
[31] " matter else cast can always count good performance warner seems made play distinguished gentleman gaze steel will match "                                                                                                   
[32] "additionally number smaller fictional nonfictional roles thrown color kathy bates unsinkable molly brown danny nucci jacks friend fabrizio de rossi eric braeden john jacob astor even bernard fox colonel archibald gracie "
[33] "nice see dr bombay getting work "                                                                                                                                                                                            
[34] "also scattered steerage passengers basically movie can feel sorry die "                                                                                                                                                      
[35] " may largely compulsory film titanic transcends status putting characters direct conflict ships crewmembers strive maintain order assure firstclass passengers placed aboard lifeboats anyone else "                         
[36] " way titanic possesses depth usually found action pictures "                                                                                                                                                                 
[37] " dont just get love story tragedy backdrop real account class struggle well "                                                                                                                                                
[38] " mentioned budget film tremendous certainly showed set dressing special effects "                                                                                                                                            
[39] " interiors titanic nearly breathtaking elaborate trimmings intricate detail one little doubt layouts authentic "                                                                                                             
[40] " regard exteriors dare anyone point film vessel recreated meticulousness scale "                                                                                                                                             
[41] "cameron actually built scale model titanic water tank room therefore computergenerate remaining feet "                                                                                                                       
[42] "couldve fooled everyone else theater splicing seamless "                                                                                                                                                                     
[43] "also note film way audience presented anatomy disaster right beginning "                                                                                                                                                     
[44] " told iceberg struck ship flooding occurred way ship sank manner "                                                                                                                                                           
[45] " technical details serve guide later action starts happening allow us view sinking informed analytic detraction addition conventional placement midst mayhem confusion "                                                     
[46] " james camerons titanic good blend love story history action "                                                                                                                                                               
[47] " fact film runs longer three hours almost unnoticed viewers attention held alternately three main elements movies intriguing beginning satisfactory ending "                                                                 
[48] " box office receipts titanic movie will undoubtedly live unsinkable expectations titanic ship "                                                                                                                              
