 [1] " run tings "                                                                                                                                                                                                                    
 [2] "tings dont run "                                                                                                                                                                                                                
 [3] "sound advice capone paul campbell squaddie partner floyd winston bell "                                                                                                                                                         
 [4] "jamaican film shot entirely video featuring standard cop movie plot mixed dash john woostyled brotherhood morals little gunplay "                                                                                               
 [5] "capone tough nails super cop gets transfer back hometown kingston successfully taking gangsters broken home lady killed partner front "                                                                                         
 [6] " arrives discovers ghetto grew gotten worse thanks mainly crime boss wonie jamaican film veteran carl bradshaw named left hand amputated replaced grasping hook "                                                               
 [7] "capone discovers wonie smuggling guns inside shipments charity supplies area churches much disappointment also finds childhood friend ratty mark danvers helping "                                                              
 [8] "torn job protecting best friend capone must make hard decisions order make things right "                                                                                                                                       
 [9] "directed deftly first time jamaican filmmaker chris browne assistant director american films stella got groove back instinct one hardly notices film shot video "                                                               
[10] "shots handled efficiently quickly take nuances aforementioned john woo films although action isnt hyperkinetic woos films "                                                                                                     
[11] " action scenes handled kind flair though eventually begin take life beyond hong kong films obviously patterned "                                                                                                                
[12] " makeup effects particularly good scenes well flawless squib work display effects team "                                                                                                                                        
[13] " cast superb listening dialogue spoken thick jamaican accents half subtitled extensive use slang just adds interest "                                                                                                           
[14] "paul campbell loose cannon capone essays role perfectly displaying right amount menace compassion right times "                                                                                                                 
[15] "mark danvers evokes sympathy ratty parttime gun smuggler also trying help community building football fields organizing block parties bring people together "                                                                   
[16] "unfortunately carl bradshaw given least character crime boss seems ineffective largely underlings seem run way character intended portrayed "                                                                                   
[17] " music film composed reggae songs soundtrack produced grammy award winning artists sly robbie worked likes rolling stones maxi priest bob dylan james brown grace jones herbie hancock bootsy collins carly simon among others "
[18] " end credit song run tings group red dragon pretty decent carries theme movie established early quote opens review "                                                                                                            
[19] "oddly enough desmond ballentine plays character deportee well known pioneer realm gangsta reggae performer ninjaman doesnt contribute single song film see virtually unheard us "                                               
[20] " time writing third world cop put limited theatrical release us coming sixmonth boxoffice breaking run jamaica holds position highest grossing film time bringing million jamaica roughly us "                                  
[21] "palm pictures company released offbeat entertaining sixstring samurai company releasing film considering main focus dvd market can imagine disc will available film left theaters "                                             
[22] "chris blackwell founder palm pictures also involved production another jamaican boxoffice smash entitled countryman id say pretty good track record "                                                                           
[23] "overall third world cop pretty entertaining homage films john woo ringo lam tsui hark many action films directors hong kong "                                                                                                   
[24] " action films thing dont mind intermittent subtitles cant go wrong film "                                                                                                                                                       
[25] " performances story solid little cliched action tight "                                                                                                                                                                         
[26] "im sure jamaican films released country like apparently third world cops honors well deserved "                                                                                                                                 
