 [1] " certainly just monster story "                                                                                                                                                                                           
 [2] " kenneth branagh directoractorcowriter mary shelleys frankenstein "                                                                                                                                                       
 [3] "kenneth branaghs new motion picture compete previous frankensteinfilms made throughout years almost every part world including controversial version directed james whale "                                               
 [4] " dark stormy nights lightning bolts charnel houses spare body parts laboratory victor frankenstein stirs steaming cauldron life effectful "                                                                               
 [5] " center film quieter thoughtful contains real story "                                                                                                                                                                     
 [6] "horrorfans will probably disappointed total lack horror "                                                                                                                                                                 
 [7] "branagh instead concentrated serious issues morality philosophy human elements story old fashioned horror cliches "                                                                                                       
 [8] " version much closer book previous adaptions classic novel "                                                                                                                                                              
 [9] " film begins ends somewhere arctic ocean "                                                                                                                                                                                
[10] " year "                                                                                                                                                                                                                   
[11] " bold captain steering ship unknown waters "                                                                                                                                                                              
[12] " gole reach north pole costs "                                                                                                                                                                                            
[13] " ice closes around ship figure appears horizon "                                                                                                                                                                          
[14] " man "                                                                                                                                                                                                                    
[15] "exhausted brink death approaches frightening crew "                                                                                                                                                                       
[16] " name victor frankenstein kenneth branagh story terrifying will scare everyone venturing unknown "                                                                                                                        
[17] " myserious stranger begins tale precisely confession geneva "                                                                                                                                                             
[18] " remembering childhood youth "                                                                                                                                                                                            
[19] "laughter banquets parties happy life without troubles concerns "                                                                                                                                                          
[20] " victor lived father ian holm mother cherie lunghi surrogate sister helena boham carter servants happiness harmony "                                                                                                      
[21] " idyllic lifestyle suddenly changed "                                                                                                                                                                                     
[22] "like thunder quite sky mother dies giving birth youngest brother "                                                                                                                                                        
[23] "shocked baffled gradually changed grief despair victor already interested science becomes obsessed death "                                                                                                                
[24] "standing mothers grave says oh mother "                                                                                                                                                                                   
[25] " die one ever die "                                                                                                                                                                                                       
[26] "will stop "                                                                                                                                                                                                               
[27] "promiss "                                                                                                                                                                                                                 
[28] " proposing marridge surrogate sister promising return soon studies finished victor travels ingolstadt presuite medical career "                                                                                           
[29] " obsession totally overtakes working day night creating life death "                                                                                                                                                      
[30] "composing dead bodies frankenstein wanted create perfect man physically mentally "                                                                                                                                        
[31] " strong electrical impulses managed breeth life creation "                                                                                                                                                                
[32] " result ugliness "                                                                                                                                                                                                        
[33] "realizing done frankenstein tried undo work late "                                                                                                                                                                        
[34] " creature escaped "                                                                                                                                                                                                       
[35] " epidemic frankenstein hoped creation died returned home making plans wedding "                                                                                                                                           
[36] " everything mothers death "                                                                                                                                                                                               
[37] " one one loved dying mysteriously "                                                                                                                                                                                       
[38] "whales picture although powerful never managed capture total depth novel "                                                                                                                                                
[39] "brannagh less done "                                                                                                                                                                                                      
[40] "another thing characters actors "                                                                                                                                                                                         
[41] "branagh developed every character assembled magnificent cast "                                                                                                                                                            
[42] " greatest performances comes de niro monster played among others charles ogle karloff lon chaney bela lugosi glenn strange christopher lee fred gwynne herman munster now robert de niro "                                
[43] "alone hated feared completely aware ugliness "                                                                                                                                                                            
[44] " first like helpless abandoned child desperately reaching love "                                                                                                                                                          
[45] "later reads frankensteins journal learns composed dead bodies love turns rage seeking revenge "                                                                                                                           
[46] " capable killing without regret "                                                                                                                                                                                         
[47] " took throughout lifted ground "                                                                                                                                                                                          
[48] " slowly crushed neck "                                                                                                                                                                                                    
[49] " killed saw face "                                                                                                                                                                                                        
[50] " reveals savage nature creator "                                                                                                                                                                                          
[51] " yet never quite evil eyes vaulerbility loneliness palpable sympathy one living make peace "                                                                                                                              
[52] "rarely cinematic interpretation daemon approached level threedimensionality humanity portrayed novel "                                                                                                                    
[53] "another vital thing character victor frankenstein "                                                                                                                                                                       
[54] " previous adaptions simply mad scientist trolls graveyards corpses creates monster god knows power electrical storm "                                                                                                     
[55] "almost time granted charecter important vital charecter novel "                                                                                                                                                           
[56] " branagh introduces character victor frankenstein establishes obsession nature life death sets intellectual ideological conflict victor academic establishment somehow manages build rousing horrifying creation scene "  
