 [1] "rated r strong language sexual dialogue drug use crude humor violence brief nudity "                                                                    
 [2] "starring ben affleck matt damon linda fiorentino salma hayek alan rickman chris rock kevin smith jason mewes jason lee george carlin alanis morissette "
 [3] "running time minutes "                                                                                                                                  
 [4] " huge fan kevin smith expecting lot newest project dogma "                                                                                              
 [5] " might just kevins best work date "                                                                                                                     
 [6] " funny smart foulmouthed dialogue unexpectedly serious undertone besides going god jesus christ actually tries tell people thing rather isnt "          
 [7] " little movie premiered sundance "                                                                                                                      
 [8] " little film called clerks little film went become huge video sensation "                                                                               
 [9] " really cant meet person green earth seen clerks "                                                                                                      
[10] " hailed critics one best movies year soon sequel coming "                                                                                               
[11] " kevin made another movie mallrats flopped horribly thought best movie ever made pretty good little flick "                                             
[12] " panned critics hailed audiences chasing amy came kevins biggest success date "                                                                         
[13] "now get great little movie name dogma "                                                                                                                 
[14] "wow cast "                                                                                                                                              
[15] "ok plot movie linda fiorentino plays regular woman works abortion clinic "                                                                              
[16] "one day house metatron voice god appears house much surprise tells must stop two fallen angels matt damon ben affleck getting back heaven ways church " 
[17] "ok now get told find two prophets one talks lot one doesnt however gets jay silent bob instead give us great performances "                             
[18] "now way new jersey jay silent bob try stop two angels th apostle falls sky chris rock helps guide find angels "                                         
[19] "salma hayek plays serendipity also helps along way "                                                                                                    
[20] "azrael jason lee demon trying help two angels can win "                                                                                                 
[21] "bethany linda fiorentino now use help people try stop angels cheat way back heaven leading violent bloody end will make think twice faith "             
[22] " movie everything rolled one offensive offbeat smart sassy comedy surprisingly great message end ends feelgood movie "                                  
[23] " known kevin soft side make us know faithful person "                                                                                                   
[24] "now get offended movie really take heart "                                                                                                              
[25] "yes may target catholic community bash lot also seems rather go god heaven actually goes god kevin gives message god "                                  
[26] " review may sound confusing first really way understand see excellent movie "                                                                           
[27] "kevin goes new lengths hilarious comedy gives us great characters much background study rather start know characters watch movie "                      
[28] " course best funniest duo history made fall chair laughing friends jay silent bob "                                                                     
[29] "probably best characters movies like "                                                                                                                  
[30] " starstudded cast amazing cameos george carlin jeanne garafolo may start lose track "                                                                   
[31] " script written kevin smith many fwords course strong emphasis sexual talk also seems concentrate important rather isnt makes us laugh time think "     
[32] "chris rock gives hilarious performance gets character well classic lines "                                                                              
[33] "linda fiorentino just perfect role makes us believe really "                                                                                            
[34] " course jason mewes kevin smith great job jay silent bob priceless lines jay well silent bob "                                                          
[35] "alan rickman jason lee salma hayek round cast matt damon ben affleck starring roles "                                                                   
[36] " oscar winners classic good will hunting give great performances matt damon seems just little held back give "                                          
[37] "ben however got much character well story "                                                                                                             
[38] " movies big flaw unfunny lines slow parts go along "                                                                                                    
[39] "however direction kevin script kevin well priceless performance many cast members dogma stands new classic think can safely compare clerks "            
[40] " funny times end becomes serious movie important message may agree cant deny "                                                                          
[41] "dogma will offend people especially deeply religious people open minded want see funny material movie "                                                 
[42] " kevin smith fans must see "                                                                                                                            
