 [1] "one popular subplots entire science fiction genre time travel "                                                                                                                                                     
 [2] " concept although many purists doubt scientific credentials spawned many interesting novels comic books films last century "                                                                                        
 [3] "however big granddaddy time travels h g wells novel time machine wasnt written intention speculate concept consequences "                                                                                           
 [4] " author h g wells merely used convenient way express socialist views condemn great social gap rich idle capitalist class impoverished labour "                                                                      
 [5] "whatever intentions wells future generations readers less impressed political messages "                                                                                                                            
 [6] "instead fascinated idea strange new worlds explored without traveling trough space "                                                                                                                                
 [7] " novel became one great classics science fiction genre natural filmmakers use inspiration "                                                                                                                         
 [8] "first george pal directed film years become genre classic "                                                                                                                                                         
 [9] " plot revolves george rod taylor victorian scientist discovered way travel fourth dimension time "                                                                                                                  
[10] " eve new th century george gathers friends order present invention machine enable travel time "                                                                                                                     
[11] " skeptical doesnt prevent george carrying plan traveling future "                                                                                                                                                   
[12] " first travels slowly seeing london changes years three world wars "                                                                                                                                                
[13] "finally witnessing world war three travels far future hoping cease witness wars senseless destructions "                                                                                                            
[14] " finally reaches year ad first glance new world looks like utopia humanity consists young beautiful idle eloi people fed clothed taken care unseen machines "                                                       
[15] " weena yvette mimieux eloi woman tells george another side coin night people preyed upon morlocs humanoid creatures underworld "                                                                                    
[16] " time machine became cinematic classic reason novel became classic science fiction literature fantastic concept brilliant way authors talk burning issues fears respective times "                                  
[17] " h g wells frightening threat class struggle george pal screenwriter david duncan produced film worst days cold war constant imminent threat nuclear holocaust underlined negative references war throughout movie "
[18] "even modern audience tempted discard film oldfashioned find values universal messages fit era "                                                                                                                     
[19] "compared genre films today time machine even better serve good example make intelligent thoughtprovoking films "                                                                                                    
[20] " course since hollywood product time machine delivers concepts form classic adventure sometimes sacrificing plausibility sake attractiveness "                                                                      
[21] " example hard imagine someone able understand perfect english million years future morlocs degenerating mutant monsters eloi remain undistinguished people today "                                                  
[22] " final scenes turn victorian scientist action superhero also rather unconvincing "                                                                                                                                  
[23] " hand film well directed cleverly paced special effects although definitely oldfashioned adequate kind picture "                                                                                                    
[24] " acting good rod taylor one remembered roles time alan young brings rather memorable performance georges trusted friend filby "                                                                                     
[25] "yvette mimieux plays weena hand remembered looks complexity role "                                                                                                                                                  
[26] "however despite flaws time machine good piece cinema something connoisseurs quality sciencefiction films sorely miss days "                                                                                         
