 [1] "s aliens vs "                                                                                                                                                                                                                           
 [2] "earth idea revamped "                                                                                                                                                                                                                   
 [3] " following movie news net escaped hype id "                                                                                                                                                                                             
 [4] " promises summer film year elements necessary "                                                                                                                                                                                         
 [5] "id opened us nd july till now week release nearly touched us million mark phenomenon last observed jurassic park released back "                                                                                                        
 [6] " premise movie disgustingly simple earth defends aliens typical highly popular s hollywood theme manifested many films produced era "                                                                                                   
 [7] " movie opens via star wars however unoriginal may worked "                                                                                                                                                                              
 [8] " aliens sent large mother ship supposedly size moon attack earth deploying attack ships miles radius major cities earth "                                                                                                               
 [9] " us president pullman know aliens intention soon finds david goldblum scientist discovers aliens counting synchronised attack major cities "                                                                                            
[10] "capt hiller smith hotshot f pilot one hundreds assigned take hovering alien attack ship washington dc "                                                                                                                                 
[11] " squadron came heavy alien fire discovering weapons useless invaders crash lands spectacular chase grand canyon one many highlights movie "                                                                                             
[12] "id features many characters shown impact story progresses "                                                                                                                                                                             
[13] "acting whole ok although thought bill pullman bit unsuitable president role make rousing speech sending troops battle smell bit braveheart "                                                                                            
[14] " prizes guessing id ends just plain obvious "                                                                                                                                                                                           
[15] "id borrows heavily star wars return jedi alien parts movie even sense bit xfiles screen "                                                                                                                                               
[16] " critically review movie id full plot holes corny dialogue ridiculously dumb aliens "                                                                                                                                                   
[17] "however waferthin plot onscreen flaws id scored well playing appealing idea entire world giving petty differences unite one force alien invasion "                                                                                      
[18] " idea will audience strongly rooting united front throughout movie thus maintaining screenviewer interaction virtually render holes movie acceptable matter ridiculous "                                                                
[19] "id produced modest budget us million film magnitude easily another waterworld director roland emmerich universal soldier stargate producer dean devlin assembled team special effects rather commissioning ilm special effects company "
[20] " effects good believable especially epic standoff fs alien saucers reminiscence classic space battle featured return jedi "                                                                                                             
[21] "id movie "                                                                                                                                                                                                                              
[22] "though many explosions implied deaths gory scenes human destruction thus young kids able take "                                                                                                                                         
[23] "sit back dont critical chances will absorbed movie just "                                                                                                                                                                               
[24] " planning watch movies year please least make time one "                                                                                                                                                                                
[25] " film best watched bigscreen "                                                                                                                                                                                                          
