 [1] "theres movies enjoy even though know probably shouldnt difficult time trying explain "                                      
 [2] " lucky numbers perfect example blatant ripoff fargo every movie based elmore leonard novel yet somehow still works "        
 [3] " know im minority let explain "                                                                                             
 [4] " film takes place harrisburg pa unseasonably warm winter "                                                                  
 [5] "john travolta plays local bigshot tv weatherman idolized townsfolk john travolta bumbling russ richards "                   
 [6] "russ married crystal lisa kudrow blonde bimbo ever one history cinema "                                                     
 [7] "shes selfish nasty bitch full lust desire somehow got job lottery ball girl exactly intellectually taxing job market "      
 [8] "crystals cheating russ collective boss dick ed oneil tv station manager "                                                   
 [9] " doesnt seem genuinely like either can onehorse town "                                                                      
[10] "much like fargo movie tells story man whos going broke pull huge scam get rich quick "                                      
[11] " enlists help english friend gig tim roth local stripclub owner tells fix lottery "                                         
[12] "along way subplot involving twobit thug named accurately dale thug michael rappaport gets mixed process "                   
[13] "theres also bookie somehow gets thrown mix deal goes "                                                                      
[14] "im going elaborate much plot story continues unwind take twists turns youre expecting "                                     
[15] " farce basically straightforward adultoriented comedy doesnt go far classic black comedy "                                  
[16] " fargo sometimes shocking disturbing funny lucky numbers just funny cant take characters outrageous situations seriously "  
[17] " big cartoon basically funny can respect "                                                                                  
[18] "travolta great role even though hes really likable character hes trying nice guy despite fact hes creep "                   
[19] "hes like gangster morals genuinely feels sorry guys kill "                                                                  
[20] "crystal just opposite shes constantly arguing using whatever brain cells left look "                                        
[21] "kudrow perfect role since shes spent years tv dimwitted phoebe friends "                                                    
[22] " character basically evil incarnation phoebe "                                                                              
[23] " admit honestly surprised pleased plot unraveled methods main characters use try get share money "                          
[24] "like jackie brown elmore leonard adaption story circle characters lottery money won illegally "                             
[25] " screenplay fine job balancing characters slowly revealing motivations hidden agendas time keep russ richards main focus "  
[26] " characters introduced since film iconic cartoony atmosphere can take faith just makes minor characters "                   
[27] " ending great "                                                                                                             
[28] " surprising funny makes feel good "                                                                                         
[29] " realize film packed different movies worth stories two hours time didnt fall apart although many critics might beg differ "
[30] " liked see isnt makes movie good "                                                                                          
