 [1] "losing job uncommon thing "                                                                                                                                                          
 [2] "reacting personal setback taking group small children hostage bit rare "                                                                                                             
 [3] " might feel desire blow someones head shotgun dont seem grasp point view actually threatening one usually something avoid "                                                          
 [4] " isnt case sam baily john travoltas slightly askew averagejoe persona mad city "                                                                                                     
 [5] " dont think people listen guys like sam laments exclusive interview behind walls museum "                                                                                            
 [6] "just days ago sam guard museum cutbacks led elimination security position sams apprehension resulted brash decision "                                                                
 [7] " effort get exboss museum director mrs banks blythe danner just listen barges museum one day equipped fully loaded shotgun taking uncooperative banks group school children hostage "
 [8] "sams overall concern valid enough loses job paycheck benefits etc wife two children wont provided "                                                                                  
 [9] "hes lunatic hottempered madman hes somewhat like child panicky compulsive running emotion naive intentions arent helped fact banks wasnt overly compassionate let go "               
[10] "overall hes just like except capacity view line wed deem far enough starting mark crazy race "                                                                                       
[11] "meanwhile television reporter max brackett dustin hoffman also scene "                                                                                                               
[12] "covering fluff story evening news concerning museum cutbacks max suddenly finds middle biggestbreaking news story ever couldve hoped "                                               
[13] " demoted network newsman smalltime affiliate reporting max anxious turn story "                                                                                                      
[14] "max immediately bonds sam "                                                                                                                                                          
[15] "max even coaches sam thru hostage negotiations writes scripts use police phone "                                                                                                     
[16] " first maxs intentions dont stretch beyond high ratings good boost ole pride factor gets know sam personally begins sympathize even become somewhat advocate "                       
[17] " media however creating frenzy leaves fickle public shifting gears often diesel truck moving downhill "                                                                              
[18] " accidental shooting exco worker cliff bill nunn black security guard becomes one main factors controversy sams honest ambitions "                                                   
[19] "also involved film robert prosky lou potts head news department station max falls directly alan alda nationally famed reporter kevin hollander uses network power try outshine max " 
[20] "alda prosky turn fine performances fit like gloves acting abilities "                                                                                                                
[21] " mia kirshner plays young tv station intern laurie "                                                                                                                                 
[22] " falls maxs wings become student taught well way sensationalistic reporting "                                                                                                        
[23] "kirshners credits relatively small now including roles films like exotica forgettable sequel crow "                                                                                  
[24] "still kirshners character transformation shows shining ability play good girl kindabitchyinareservedway roles "                                                                      
[25] " wouldnt mind seeing prevalent parts perhaps talent will able blossom fully onscreen "                                                                                               
[26] " viewpoint media greedy selfrighteous monster indeed tackled mad city provides solid two hours enjoyability "                                                                        
[27] "hoffman travolta excellent actors seeing together real treat "                                                                                                                       
[28] " great job smoothly naturally becoming characters provide enough chemistry us genuinely care "                                                                                       
[29] " quite bit humor film without couldve fallen drab cliched social statement likely garner sleep audience applause "                                                                   
[30] " isnt flick will grip funny bone heart will lightly touch making recommendable movie "                                                                                               
[31] " nothing opportunity watch hoffman travolta time urge check one "                                                                                                                    
