 [1] "im avid fan alien saga review obviously tad biased least admitted "                                                                                                                                                                                                             
 [2] " course doesnt mean im gonna giving fourstar review something alien resurrection fourth film coolashell series absolutely amazing film much like first two "                                                                                                                    
 [3] "however good film never fails entertain consists yet another mutation style series "                                                                                                                                                                                            
 [4] " short good time "                                                                                                                                                                                                                                                              
 [5] " alien resurrection leaves years last one heroine protagonist ellen ripley sigourney weaver science fiction genres answer job killed discovering alien inside body waiting pop like john hurt first one "                                                                       
 [6] " course last one wasnt great anything liked though much first two importantly wasnt financially successful tawdry million bucks "                                                                                                                                               
 [7] " back ripley back clone means get another little satirical look cloning thats bad thing becoming cliche "                                                                                                                                                                       
 [8] " shes cloned aboard even futuristiclooking ship called auriga doctors including necessary bad government guy dr wren played j e freeman well littleseen dr gediman played none brad douriff mainly version alien still inside "                                                 
 [9] " get past fact cant figure got blood although think might blood samples taken charles dance third one films okay "                                                                                                                                                              
[10] "also board band mercenary pirates including michael wincott ron perlman kim flowers raymond cruz dominique pinon jeunet sytable winona ryder plays analee call turns bit secret wont state unless youve shacking salinger past two years probably know although nicely covered "
[11] "theres bit nonsexualyetslightlyhomoerotic relationship ripley never really deepened enough "                                                                                                                                                                                    
[12] "oh well "                                                                                                                                                                                                                                                                       
[13] "well might guessed alien spawn escape run around ship "                                                                                                                                                                                                                         
[14] " pretty much away people ship including shocks dan hedaya instance whos death comical yet sad since well hes dan hedaya remaining people left try escape stop aliens major harm since ship heading quickly towards earth "                                                      
[15] " course plot balderdash just excuse good old alien brand fun "                                                                                                                                                                                                                  
[16] " real focus series seems style really substance although theres always bit notably aliens relationship ripley little girl "                                                                                                                                                     
[17] "whats interesting series film stylistically different approach "                                                                                                                                                                                                                
[18] " alien claustrophobic exercise quiet frights "                                                                                                                                                                                                                                  
[19] " aliens wild tense thriller "                                                                                                                                                                                                                                                   
[20] " alien bleak moody piece seminoir "                                                                                                                                                                                                                                             
[21] " alien kind like offbeat french film filled lots humor cool scares "                                                                                                                                                                                                            
[22] "jeanpierre jeunet without usual directing partner marc caro creates ship filled kind scares films like das boot echoes hinting possible threat "                                                                                                                                
[23] " chills film really cool especially music sometimes turned completely certain scenes theres tense surgery scene since faceoff towards beginning "                                                                                                                               
[24] " every chill turns bloody mess anything like "                                                                                                                                                                                                                                  
[25] " combined good old humor makes interesting visually stylistically others "                                                                                                                                                                                                      
[26] " even couple scenes just stick afterwards brilliantly executed "                                                                                                                                                                                                                
[27] "one aforementioned surgery scene "                                                                                                                                                                                                                                              
[28] "another one takes place call ripley just awesome "                                                                                                                                                                                                                              
[29] " underwater chase scene ladder scene afterwards one tense thrilling jawdropping scenes entire saga small allusion jeunets earlier film delicatessen "                                                                                                                           
[30] " way final alien hysterically cool lovely allusion goldfinger "                                                                                                                                                                                                                 
[31] " best scene entire film im sure im first mention takes place ripley sees variations cloned tatooed arm "                                                                                                                                                                        
[32] " might emotionally stimulating scene entire saga "                                                                                                                                                                                                                              
[33] " screenplay joss whedon great piece work never really deapens lot characters "                                                                                                                                                                                                  
[34] "however make us care theres little looks like one may become alien chow pretty scared "                                                                                                                                                                                         
[35] " yeah funny lines ripley fuck get boat "                                                                                                                                                                                                                                        
[36] "johner well can get "                                                                                                                                                                                                                                                           
[37] " ship "                                                                                                                                                                                                                                                                         
[38] " acting good around standout performances ron perlman male chauvenist pig johner leland orser poor bastad seen performed lust sin anxietyridden wannabe woody allen alien inside "                                                                                              
[39] "winona ryder good amazing like usually although meshes well film "                                                                                                                                                                                                              
[40] " course usual sigourney weaver steals show "                                                                                                                                                                                                                                    
[41] "playing variation ripley character less emotional rude bitter pulls still utterly lovable "                                                                                                                                                                                     
[42] "shes going get oscar nomination like aliens shes just awesome "                                                                                                                                                                                                                 
[43] "overall thrilling entertaining film doesnt really amaze like first two much amazing third installment "                                                                                                                                                                         
[44] " style best part film isnt really bad thing best part takes away lot depth film occasionally tries apply "                                                                                                                                                                      
[45] " entertaining hell definitely fit alien series "                                                                                                                                                                                                                                
