 [1] " happy bastards second review "                                                                                                                        
 [2] "notting hill "                                                                                                                                         
 [3] " cute romantic comedy writer hit comedy four weddings funeral notting hill stars julia roberts anna scott popular actress million asking price movies "
 [4] "one day wanders travel book store owned simple london resident played hugh grant sparks somehow begin fly "                                            
 [5] "sure points turmoil putting grants slightly disgusting hilarious roommate spike annas pesky exboyfriend alec baldwin humorous cameo top damn press "   
 [6] " fresh sort complexity see romantic comedy different say stubborn father right time like seen usual flicks "                                           
 [7] "roberts terrific astonishingly beautiful actress grant surprisingly good straightforward guy still trying get hold actually happened girl "            
 [8] " short sweet romantic comedy lot good laughs particularly provided spike "                                                                             
 [9] "one teeshirt really says "                                                                                                                             
[10] " attempt turn woman shows front shirt says beautiful woman world "                                                                                     
[11] " back "                                                                                                                                                
[12] " fancy f k "                                                                                                                                           
