 [1] " circumcision psychic wounds family sitcom "                                                                                                                                                                                                                            
 [2] " opening segment something foretaste film "                                                                                                                                                                                                                             
 [3] "theres guys voice telling us tries imagine biological parents look like screen see images variety oldish men women "                                                                                                                                                    
 [4] " imagination plays o n picture motley characters mixandmatch shuffle unlikely marriages businesswomen bums matrons paint salesmen images coming faster faster frenzy "                                                                                                  
 [5] " just witty funny summing film s themes might guess yet sets pattern way story goes "                                                                                                                                                                                   
 [6] " starts step fairly sensible direction gets taken road trip put detour two finds freewheeling towards immin ent crash "                                                                                                                                                 
 [7] " may sound different average family sitcom general idea film doesnt first seem wildly distant standardissue hollywood comedy man adopted child ben still er sets journey meet real parents along wife patricia arquette baby pretty psychologyresearcher tea leoni tow "
 [8] "various mixups shenanigans oddball characters yup disasters follow "                                                                                                                                                                                                    
 [9] " think youve dialogue direction david o russell made spanking monkey take another dimension "                                                                                                                                                                           
[10] " dreaded tname seems inevitable reference point drug overdose scene casting arquette true romance really point footmassage master hasnt got monopoly plot twists fast funny irreverent lines absurdities ordinary speech "                                              
[11] "whether circumcision psychic wounds oral sex carjacking beauties armpit area ronald reagan script never seems run hilarious invention "                                                                                                                                 
[12] " best thing words arent just punchlines great precisely theyre said character like tea leonis neuroticallycharged psychobabbler whos able say assault understandable find threatening "                                                                                 
[13] " cast excellent throughout rather singling anybody kudos due fine ensemble acting sometimes frenetically overlapping dialogue sense dozen different reagents colliding point fission "                                                                                  
[14] " elements woody allen film mention handheld camera loose improvisational feel scenes "                                                                                                                                                                                  
[15] "like allen russells interests volatile sexual politics couples neurotic obsessions pare nts children everybody really "                                                                                                                                                 
[16] "still youre expecting privileged moment revelation emotional outpouring la murphy brown frasier fillintheblankamericancomedy well wont happen "                                                                                                                         
[17] " film sets expectations like lead characters search f origins hopes selfhealing knock "                                                                                                                                                                                 
[18] " conventional sitcom structure put slightly loopy family catastrophic conditions rediscover essential lovey oneness flirting disasters charact ers embark journey seek essential state find plunging weirdness dysfunctional chaos go "                                 
[19] " film suggests essential family state better learn love "                                                                                                                                                                                                               
[20] "somehow perversely feelgood cinema right manic end "                                                                                                                                                                                                                    
