 [1] "nosferatu vampyre germany "                                                                                                                                      
 [2] " film review mike watson copyright mike watson "                                                                                                                 
 [3] " extraordinary retelling bram stokers dracula german filmmaker werner herzog deserves prominent places cinematic vampire lore "                                  
 [4] "inspired f w murnaus silent film name herzogs film work exquisite bleakness oddly touching tragedy beautiful uniquely haunting quality lingers long afterwards " 
 [5] " original fulllength english german language versions nosferatu last received video release u s distributor anchor bay entertainment gorgeous widescreen prints "
 [6] " now shortened english language version film available video europe "                                                                                            
 [7] " rereleases restore film full length viewers still wary english version due often stilted dialogue "                                                             
 [8] "apparently english dialogue coach herzog set filming incompetent voices also seem dubbed "                                                                       
 [9] " german version english subtitles remains definitive one "                                                                                                       
[10] "everyone knows story dracula "                                                                                                                                   
[11] " "                                                                                                                                                               
[12] " story bastardised film years brief reminder basic plot certainly wont hurt "                                                                                    
[13] "jonathan harker young lawyer sent gloomy castle dracula transylvania business creepy count played klaus kinski wants buy house harkers hometown "                
[14] "upon seeing photo harkers wife radiant isabelle adjani instantly falls love "                                                                                    
[15] "locking harker castle sets long journey meet woman whose beauty bewitches "                                                                                      
[16] "upon divining identity vampire adjani seduces count lures death one morning sun rises "                                                                          
[17] " story familiar millions herzog elevated stokers tale realm use term tad reluctantly cinematic art "                                                             
[18] "nosferatu much meditation film shot blueish white filters peopled characters perform half hypnotised "                                                           
[19] " films surreal dreamlike quality utterly mesmerising "                                                                                                           
[20] " much enjoy ill limit praise key points "                                                                                                                        
[21] "holding film together kinskis remarkable performance count dracula "                                                                                             
[22] "past screen portrayals including bela lugosis famous turn largely one dimensional tended towards camp "                                                          
[23] " kinski oh boy something far compelling "                                                                                                                        
[24] "aided startling makeup job portrays draculas vampirism simply pure evil sort loathsome disease "                                                                 
[25] " man dreadfully lonely "                                                                                                                                         
[26] " lives utter solitude shunned locals hideous appearance reputation bloodlust "                                                                                   
[27] "kinskis portrayal count creepy deeply affecting "                                                                                                                
[28] " dies almost feel mans tortured soul freed last "                                                                                                                
[29] " theres unforgettable soundtrack largely composed german group popul vuh "                                                                                       
[30] " eerily beautiful evocative quite impossible imagine film without "                                                                                              
[31] "popul vuh longtime herzog collaborators play ancientsounding kind spacemusic using piano chants exotic instruments "                                             
[32] " first saw film years ago impressed tracked bought number albums "                                                                                               
[33] " one still listen tantric songs music nosferatu taken "                                                                                                          
[34] " testament musics depth powerful without pictures "                                                                                                              
[35] " album still available highly respected ambient world music label celestial harmonies "                                                                          
[36] " timely rerelease anchor bay "                                                                                                                                   
[37] " francis ford coppolas unscary woefully overblown version bram stokers tale joy go back herzogs film see amazing things done now centuryold story "              
[38] " aficionados nosferatu quite simply greatest vampire film ever made "                                                                                            
[39] "without doubt unmistakable classic genre "                                                                                                                       
[40] "dont miss "                                                                                                                                                      
