 [1] "sick life death bob flanagan supermasochist "                                                                                                                                               
 [2] " fernando vallejo "                                                                                                                                                                         
 [3] "starring bob flanagan sheree rose "                                                                                                                                                         
 [4] "interviews kathe burkhart kirby dick rita valencia "                                                                                                                                        
 [5] "produced directed kirby dick "                                                                                                                                                              
 [6] "running time mins "                                                                                                                                                                         
 [7] " film rated "                                                                                                                                                                               
 [8] " central themes sick life death bob flanagan supermasochist pain love subsequent effect persons life "                                                                                      
 [9] " protagonist bob flanagan died age suffered cystic fibrosis mortal disease debilitates lungs saturating thick coats mucus preventing normal breathing "                                     
[10] " movie much recouperating attempting disease "                                                                                                                                              
[11] " audacious fabulously triumphant docudrama sick chronicles life flanagan vicious unthinkable acts sadomasochism conducted mistress years sheree rose amazingly provided much footage film " 
[12] "flanagans idelogy crosses realms rebelliousness becomes transcendental similar terry zwigoffs brilliant crumb also explored dysfunction artist painting sympathetic portrait realistic one "
[13] " crumb flanagan revelled defects "                                                                                                                                                          
[14] " flanagan man content enduring pain via lungs inflicted acts pain young age courageously defying god irish catholic turning body work art unraveled museums lectures "                      
[15] "behold works physical art "                                                                                                                                                                 
[16] "among metal ball inserted inside anus disturbing scene decade nailing penis board "                                                                                                         
[17] "flanagan man great intelligence wit humor well adopting sense candidness scarcely seen modern filmmaking "                                                                                  
[18] " approach disease humor peforming burlesque acts front audience also revitalized approachment "                                                                                             
[19] " cystic fibrosis make past earlier twenties theres also subplot involving female devotee knew death awaiting "                                                                              
[20] " "                                                                                                                                                                                          
[21] " outstanding thing sick flanagans relationship sheree "                                                                                                                                     
[22] "brimming honesty sensual stimulation unapologetically sad moments pain powerful bond lifts sick rare cinematic high forget auditorium become part people "                                  
[23] " last scene see hero murmuring last words wife hospital bed struggles last moments life raw tender hideous "                                                                                
[24] " goes step beyond cinematic intimacy "                                                                                                                                                      
