 [1] "capsule trippy hyperspeed action machine hong kongs accomplished tsui hark "                                                                                                             
 [2] "van damme rodman nice chemistry stunts eyepopping stuff gets blowed real good want "                                                                                                     
 [3] " admit set loathe double team reeked cheapjack timingoriented marketing stick dennis rodman movie quick hes hot something jeanclaude van dammes flagging career "                        
 [4] "surprise double team transcends dumb roots turns mess fun "                                                                                                                              
 [5] "bring friends get pretzels blast "                                                                                                                                                       
 [6] "van damme jack quinn exagent brought back one last mission youd think spy worth shoe phone run like hell hears words "                                                                   
 [7] " van dammes character pregnant wife whos also sculptor unpleasant pressure gets used get come mission "                                                                                  
 [8] "hes assigned take old enemy terrorist named stavros mickey rourke looking oddly subdued may back old tricks "                                                                            
 [9] " first showdown quinn stavros movie wears ambitions proudly sleeve nonstop action "                                                                                                      
[10] " amusement park hospital private retired spy s retreat rome various houses planes cars modes transport coliseum "                                                                        
[11] " become arenas bonerattling shootouts punchouts filmed "                                                                                                                                 
[12] " better seen described reason enough see film one jawdropping scene van damme taking man uses switchblade feet "                                                                         
[13] " van damme good dextrous athlete fighter often upstaged "                                                                                                                                
[14] " nice touches "                                                                                                                                                                          
[15] "stavros quinn want thing retire peace families "                                                                                                                                         
[16] " ambition ties together various ways also humanizes bit "                                                                                                                                
[17] "one things hk action movies theres always form human element thats carried movie well "                                                                                                  
[18] " gives weight scenes otherwise forgettable "                                                                                                                                             
[19] "also good dennis rodman playing weapons dealer named yaz character sticks like fistful broken fingers funny just standing "                                                              
[20] "rodman natural screen hes fun watch especially slinging bad guys like basketballs deserves get movie based whats seen lightweight fastmoving entertainment showcases pieces excellently "
