 [1] " curious thing ive found willis called carry whole movie hes much better movie "                                                                       
 [2] "even though sixth sense name doesnt pivotal role "                                                                                                     
 [3] " honour goes haley osment plays cole sear cute pun seer year old boy can see ghosts "                                                                  
 [4] " osment cute precious director going maudlin nothing movieoftheweek thankfully osment better instances blows everyone else screen bravura performance "
 [5] " get see fears vulnerabilities strengths intelligence makes sixth sense one best movies ive seen year "                                                
 [6] " whole cast matches quality willis giving fairly low key performance matches subject matter "                                                          
 [7] "one thing movie target "                                                                                                                               
 [8] " isnt sfxfest like haunting gorefest id call supernatural drama interested characters dazzling makeup "                                                
 [9] "one caveat theres lovely twist movie something like usual suspects end replaying movie head rethinking just seen "                                     
[10] " extremely lucky see sneak preview toronto hype critical reviews went biases "                                                                         
[11] " anyone want talk movie see dont let "                                                                                                                 
[12] "let director explain pace youll enjoy movie vastly "                                                                                                   
