 [1] " nicolas cage sounds like ideal choice lead role martin scorsese film "                                                                 
 [2] "despite rantings sean penn rudely expressed actor remains gifted versatile screen presence "                                            
 [3] "ever since big success actionthriller faceoff hollywood road rocky one mr cage "                                                        
 [4] " perpetually awful assassination thriller snake eyes one s worst films "                                                                
 [5] "mm disappointing lost cause "                                                                                                           
 [6] " better scorsese match cages wit intensity miraculous fashion bringing dead "                                                           
 [7] "cage delivers one finest performances frank pierce new york city emergency paramedic running fumes daytoday "                           
 [8] " five years stressinducing job frank basically just staggers onward relying heavy doses caffeine booze shift finally ends "             
 [9] " also begins seeing ghosts past patients died care namely young girl named rose stares back pale features every street corner new york "
[10] "frank desperately wants fired boss needs scour city help need ill fire tomorrow promises "                                              
[11] "frank accompanied fresh face every night ambulance "                                                                                    
[12] " first larry john goodman always food brain "                                                                                           
[13] " second marcus ving rhames deeply religious black man incorporates power jesus regular rescue operation "                               
[14] " finally tom tom sizemore deranged sociopath hungry blood "                                                                             
[15] " found unique scorsese used characters single shift frank never figured actual plot "                                                   
[16] " merely colorful presence help develop franks character bringing dead predominantly study mind detailed personality "                   
[17] " one character alongside frank truly comes play mary patricia arquette daughter newly admitted patient suffered severe heart attack "   
[18] "arquette recently received wounds christ stigmata performs well around reallife husband cage "                                          
[19] " unfortunate intriguing character trials tribulations relationship frank mary slips mishandled ineffective finale "                     
[20] " movie belongs onetwo punch cage scorsese born collaborate efforts arrangement similar bringing dead "                                  
[21] "although certainly lacks grit hardedge something like goodfellas scorsese manages hit nerve latest picture "                            
[22] " incredible camerawork photography represent stunning flashes brilliance otherwise unspectacular conglomeration "                       
[23] "fans will pleased find director returned abrasive darkly humorous roots somewhat departure s kundun "                                   
[24] " bringing dead rival scorseses finest work "                                                                                            
[25] " occasionally "                                                                                                                         
[26] " film feels surprisingly limp enough energy interesting material breathtaking visual appearance suffice "                               
[27] " expecting grisly risqu product may somewhat disheartened fairly straightarrow approach still solid admirable effort "                  
[28] "bringing dead written acclaimed paul schrader collaborated scorsese classics taxi driver raging bull "                                  
[29] "schraders script full moments wonderful sharply defined moments sorted throughout remainder meandering screenplay "                     
[30] " exceptional aspects film astounding technical credits amazing cast "                                                                   
[31] "goodman sizemore electric well mainly sizemore phenomenal ving rhames deserves second look "                                            
[32] "watch actors deeply inspired dedication resurrects gothic band member youll understand won golden globe "                               
[33] "bringing dead raw electrifying often enough mask certain flaws "                                                                        
[34] "scorsese cage matter done better intentions certainly admirable "                                                                       
