 [1] "plot group asbestos cleaners get job removing gunk old insane asylum "                                                                                                                   
 [2] " day passes crew members begin discover things place set things motion "                                                                                                                 
 [3] "saying anything else plot crime "                                                                                                                                                        
 [4] " fun "                                                                                                                                                                                   
 [5] "critique feel like shooting head first words came mouth seeing movie good indication kind film expect "                                                                                  
 [6] " aint average happy go lucky kind picture "                                                                                                                                              
 [7] " deliberately slowpaced mysteryhorror film drenched atmosphere creepy insane asylum film takes place clues upfront lots talk afterwards "                                                
 [8] "will bore people sleep "                                                                                                                                                                 
 [9] " bet will "                                                                                                                                                                              
[10] " made scream audiences day "                                                                                                                                                             
[11] "absolutely "                                                                                                                                                                             
[12] " guess can describe film horror movie cerebral crowd "                                                                                                                                   
[13] " film patiently unwraps frame frame giving away little step sound unwinding final scenes offer world revelations plenty discuss later "                                                  
[14] "ive always loved movies talking afterwards like shining lost highway film fits right group "                                                                                             
[15] " fact guess can pussyfoot around actual word want best way describe kind movie mindfuck "                                                                                                
[16] " feel like watching movie moves slowly gives handful characters divergent backgrounds tosses ambiguous supernatural cookies way extremely disturbing put together well movie definitely "
[17] " kind film actually see twice fully appreciate damn missed whole peanut butter thing one will likely creep shit watched alone dark "                                                     
[18] " brrrrrrrrr now "                                                                                                                                                                        
[19] " sound basement "                                                                                                                                                                        
[20] "honey can go check "                                                                                                                                                                     
[21] " one thing film doesnt unlike hollywoodian counterparts like haunting special effects "                                                                                                  
[22] " fact thats one greater things movie feels real looks like actually taped video credible actors credible circumstances research fact shot digital video ahha "                           
[23] "another great thing actually gory somewhat violent theme yet rarely see anything sort big screen mostly implied kids "                                                                   
[24] " clich d might say usually much scarier stuff left imagination implied movies "                                                                                                          
[25] " films one reminded include henry portrait serial killer blair witch project real sense dread brooding terror "                                                                          
[26] " film however move awfully slow really dont get completely really need concentrate will lose motion story pentup tension might released "                                                
[27] " overall film yet another great example horror genre making cool comeback year tight tanktops sight "                                                                                    
[28] " david caruso acting like king hotshot like can can go wrong "                                                                                                                           
[29] "definitely film everyone mustsee anyone looking throw psyche disturbed count "                                                                                                           
[30] "stanley kubrick proud "                                                                                                                                                                  
[31] "oh yeah "                                                                                                                                                                                
[32] "wheres gun "                                                                                                                                                                             
[33] "wheres joblo coming "                                                                                                                                                                    
[34] " blair witch project blair witch haunting house haunted hill lost highway pledge shining sixth sense unbreakable "                                                                       
