 [1] " deep end uses color palette rich earth tones surrounded vast array blues "                                                                                                                                                        
 [2] "alluring attractive blues also icy foreboding "                                                                                                                                                                                    
 [3] " taking beauty eye seeks reassuring browns greens like tired swimmer searching safety land "                                                                                                                                       
 [4] " production works way well pulls initially crisp thoroughlymodern thriller clipped exchanges defiantly noncommunicative characters "                                                                                               
 [5] " real draw film submerged humanity two key players deep end gradually reveals melodramatic core beneath ironic candy coating "                                                                                                     
 [6] "spoiler alert following reveals basic storyline "                                                                                                                                                                                  
 [7] " believe plot points incidental real rewards come exploring mindset main characters still proceed risk "                                                                                                                           
 [8] " husband tom naval officer often away sea margaret hall tilda swinton holds fort taking care children beau jonathan tucker paige tamara hope dylan jordon dorrance fatherinlaw jack peter donat hovers background always watching "
 [9] " story opens margaret leaving family home lake tahoe storm male strip club reno "                                                                                                                                                  
[10] " seems beau eldest affair darby reese josh lucas disreputable sort years senior "                                                                                                                                                  
[11] "margaret demands darby leave son alone man smirk announce hell glad steer clear beau "                                                                                                                                             
[12] "back home tries talk son kid wont even confirm hes gay let alone discuss issues boyfriend "                                                                                                                                        
[13] " however get attentive reveals darbys offer even maintains sullen demeanor "                                                                                                                                                       
[14] "late evening darby shows outside tossing pebbles beaus window like schoolchild "                                                                                                                                                   
[15] " two meet water boathouse something important happens "                                                                                                                                                                            
[16] " wont reveal suffice say become aware significant fact margaret "                                                                                                                                                                  
[17] " happens first minutes movie way "                                                                                                                                                                                                 
[18] "within day margarets life becomes even complicated suave man named alec goran visnjic turns explicit videotape documenting sex life beau darby "                                                                                   
[19] " associate willing destroy tape margaret coughs "                                                                                                                                                                                  
[20] "oh whats mother "                                                                                                                                                                                                                  
[21] "end spoilers "                                                                                                                                                                                                                     
[22] "written directed produced scott mcgehee david siegel suture deep end based elisabeth sanxay holdings s novel blank wall also source film reckless moment "                                                                         
[23] "ive neither read book seen movie understand filmmakers changed details "                                                                                                                                                           
[24] " holdings story scandalous relationship older man margarets teenage daughter "                                                                                                                                                     
[25] "switching gender makes tale seem contemporary also raises questions margarets motives "                                                                                                                                            
[26] "many reviews deep end describe margaret mother ferociously protecting son wonder "                                                                                                                                                 
[27] "consider margaret lives meticulously kept upscale home "                                                                                                                                                                           
[28] " husband absent time seems regarded largerthanlife figure "                                                                                                                                                                        
[29] " fatherinlaw constantly present almost monitoring son "                                                                                                                                                                            
[30] " husband call margaret careful tell anything disturbing going family "                                                                                                                                                             
[31] " margaret mother accepts sons sexual orientation simply trying shield young man lover fears will take advantage "                                                                                                                  
[32] " caretaker museum upper middle class complacency desperate maintain status quo everything will postcard perfect old man returns sea "                                                                                              
[33] " sort "                                                                                                                                                                                                                            
[34] "regardless resonance deep end comes two actors "                                                                                                                                                                                   
[35] "goran visnjic best known tv drama er striking blackmailer unlike youve seen "                                                                                                                                                      
[36] " engages margaret mesmerizing dance protocol chivalry simmering eroticism "                                                                                                                                                        
[37] " star show without doubt remarkable tilda swinton "                                                                                                                                                                                
[38] "watch shadings depth resource vitality understated sexuality gives margaret try imagine film without "                                                                                                                             
[39] "days second viewing deep end can still vividly picture negotiating villains trying connect son diving icy blue water "                                                                                                             
[40] " deep end exceptional film tilda swinton best part "                                                                                                                                                                               
