 [1] " fairy tales go cinderella one famous "                                                                                             
 [2] "almost everyone knows well least north america "                                                                                    
 [3] " natural someone will try make movie "                                                                                              
 [4] " done varying results "                                                                                                             
 [5] " version story similar original different time "                                                                                    
 [6] " basic story remains unchanged one thing seems vanish version fantastical elements story "                                          
 [7] " fairy god mother anything even remotely nature "                                                                                   
 [8] " fantastical elements stripped away left realistic believable rendition cinderella story interesting love story least "             
 [9] " "                                                                                                                                  
[10] "unlike fairy tale prince plays much larger part just masked ball end "                                                              
[11] " prince happens crown prince throne france meets cinderella known danielle occasions coincidentally becomes smitten "               
[12] "although seems far cry traditional story allows main plot proceed enough room imaginative story telling "                           
[13] " story takes place renaissance setting france leonardo da vinci providing comic relief one occasion "                               
[14] " addition leonardo da vinci quite successful added color movie since roles bit stereotypical "                                      
[15] " example role scripted prince leaves things desired "                                                                               
[16] " instance character seems bit unstable fickle crown prince anything remotely like "                                                 
[17] "especially since portrayed mid twenties least almost ready take throne "                                                            
[18] " characters danielle cinderella played drew barrymore evil step mother played anjelica huston well developed well played two women "
[19] "although part danielle bit stretched unlikely totally unbelievable "                                                                
[20] " nuances character brought well drew barrymore watching movie seems like fun making movie "                                         
[21] " contrast part evil step mother clearly seen beginning almost clique "                                                              
[22] " anjelica huston seems add certain flair role makes suit movie nearly perfectly "                                                   
[23] " actual story fairly predictable since basic story cinderella enough twists story told make interesting enjoyable "                 
[24] " acting high caliber seems deserved praise "                                                                                        
[25] " movie takes back history seemingly magical fairy land "                                                                            
[26] " dont get wrong nothing reality just refreshing watch movie based familiar setting everyday familiar things happening "             
[27] " although story basically familiar world set adds dimension film humble reviewers opinion makes worth seeing "                      
