 [1] " happy bastards quick movie review "                                                                                                                                                                                                                      
 [2] " tarzan "                                                                                                                                                                                                                                                 
 [3] "happy viewer "                                                                                                                                                                                                                                            
 [4] " minute thought going groaning release disneys latest another adaptation legend past "                                                                                                                                                                    
 [5] " remember pathetic pocahontas "                                                                                                                                                                                                                           
 [6] "yikes "                                                                                                                                                                                                                                                   
 [7] " guess disney company thats roll lately animated films strikes another wonderful tale pleases eyes well inner kid "                                                                                                                                       
 [8] " story pretty basic tarzan left orphaned female gorilla whos lost young adopts group "                                                                                                                                                                    
 [9] " matures much older man tarzan still wonders just hes much different clan arrives hunter professor professors lovely daughter jane meets tarzan rather quickly getting trouble group feisty babboons "                                                    
[10] " tarzan faces tough choices stay ones grew go join kind england "                                                                                                                                                                                         
[11] " voicework pretty toplevel "                                                                                                                                                                                                                              
[12] "tony goldwyn convincing ape man minnie driver adds delectable touch alreadybeautiful jane nigel hawthorne makes pretty nasty hunter voice rosie o donnell keeps laughs rolling tarzans best ape friend terk wayne newman knight moments panicky elephant "
[13] " movie superb throughout mixing great script incredible computerassisted visuals "                                                                                                                                                                        
[14] " tarzan treesurfs twist added top ol vine swinging great one might add camera twists turns allowing trees around come life vividly "                                                                                                                      
[15] " couldnt believe eyes disney come long way since starting ballroom beauty beast "                                                                                                                                                                         
[16] " musics half bad either "                                                                                                                                                                                                                                 
[17] "fortunately theres ridiculous singing characters just great set songs phil collins perfectly fit mood "                                                                                                                                                   
[18] "theres great action sequences well including wonderfully done chase tarzan jane aforementioned babboons "                                                                                                                                                 
[19] " course action theres message well family "                                                                                                                                                                                                               
[20] " easily one disneys best animated films decade one cant wait put home library "                                                                                                                                                                           
[21] " vcr still works year "                                                                                                                                                                                                                                   
