 [1] "one funniest carry movies third medical setting "                                                                                                                   
 [2] " main story dr james nookey jim dale disliked superiors frederick carver head hospital kenneth williams dr ernest stoppidge charles hawtrey seems dislike everyone "
 [3] " attempt cause much trouble hospital possible blame laid nookey "                                                                                                   
 [4] "carver learns possible job opportunity wealthy ellen moore joan sims distant tropical island gets nookey trannsferred "                                             
 [5] " nookey arrives island meets gladstone screwer sid james lived island just life "                                                                                   
 [6] "screwer possession wonderful slimming drug made natural ingredients "                                                                                               
 [7] "dr nookey returns drug england sets new slimming business ellen moores financial backing "                                                                          
 [8] "however nookey moore face opposition screwer goes england cash drug carver stoppidge want know ingredients create rival drug "                                      
 [9] " performances commendable "                                                                                                                                         
[10] "sid james slightly ambiguous character play time excels role "                                                                                                      
[11] "kenneth williams usual plays unpopular cunning head hospital "                                                                                                      
[12] "joan sims entertaining wealthy benefactor jim dale really head cast excellent portrayal bumbling nookey "                                                           
[13] "charles hawtrey plays outofcharacter role dr stoppidge nasty evil practitioner wants knock nookey perch "                                                           
[14] " critics said combination hawtrey stoppidge work well think least gives hawtrey new part play instead usual dimwit characters "                                     
[15] " matter fact hawtrey suitably cunning part "                                                                                                                        
[16] " regulars movie include hattie jacques matron yet part probably boring matron barbara windsor nookeys love interest unofficial womens lib campaigner goldie locks " 
[17] " jacques windsor play parts well "                                                                                                                                  
[18] "patsy rowlands appears briefly miss fosdick small cameos wilfrid brambell steptoe son fame peter butterworth "                                                      
[19] " jokes mostly funny story quite appealing regulars seem interested theyre "                                                                                         
[20] "although another medical carry movie jokes borrowed previous movies still comes top best medical carry factors "                                                    
[21] " mustsee carry movie "                                                                                                                                              
