 [1] "errol morris critically acclaimed director documentary fast cheap control vaults new heights mr "                                                                                                                                  
 [2] "death "                                                                                                                                                                                                                            
 [3] " film examination life work controversial execution equipment designer revisionist historian fred leuchter jr sure draw audiences malaise stunning even jaded minds among us "                                                     
 [4] "dont let films cheesy dissuade "                                                                                                                                                                                                   
 [5] "following sideshow horrorlab special effects plunged quickly nonstop exploration weirdness leuchters life mind "                                                                                                                   
 [6] "morris follows trail leuchters madness appalling lucidity revealing surprising frightening way us guessed begin leuchter guy seriously messed "                                                                                    
 [7] "virtually raised within american penal system father worked within prison walls leuchter seems come somewhat naturally profession designing maintaining execution equipment state penitentiaries spite lack credentials "          
 [8] " moderately successful career making electric chairs designing gas chambers gallows leuchter came attention neonazi revisionist historian ernst zundel facing criminal charges germany publishing theory holocaust never happened "
 [9] "morriss interviews surprisingly congenial drawing subjects carefree banter gives enough rope hang "                                                                                                                                
[10] "zundel speaks camera though mensch "                                                                                                                                                                                               
[11] "leuchter seems completely ease sometimes jovial "                                                                                                                                                                                  
[12] "part effect may due morriss new interviewing machine called interrotron responsible creating eye contact subject interviewer "                                                                                                     
[13] " first time morris used device results startling "                                                                                                                                                                                 
[14] "combine irony interviews leuchters reenactments reels creepy stock footage trip auschwitz birkenau mention haunting clip thomas edison electrocuting elephant youve got one compelling disturbing documentary "                    
[15] " film isnt feebleminded weakhearted valuable addition cultural landscape "                                                                                                                                                         
[16] "aside dragging minutes toward end piece morris given us fresh look dismal subject one feel bettered experience "                                                                                                                   
