 [1] "hollywood pimp "                                                                                                                                                                                                                                                          
 [2] " fat cigarsmoking chump wearing fur hat gold chains around fat hairy chest "                                                                                                                                                                                              
 [3] " stars starlets evil brood scumsucking vampires looking next percentage take next summer blockbuster next casting couch audition "                                                                                                                                        
 [4] "pumping comicbook adaptations terrible sequels mediocre films remakes foreign films nearest american movie multiplex mall theater equipped thin walls bad sound systems "                                                                                                 
 [5] " much longer can works peckinpah fassbinder fuller castle preminger lee placed forgotten wrong sections local blockbuster stores "                                                                                                                                        
 [6] " many silver weinstein films can enduring stinky decaying state american cinema "                                                                                                                                                                                         
 [7] " now john dont give shit think movies waters comes siren call frustrated filmmakers aficionados cecil b demented warped twisted tale far filmmaker will go create personal vision internal social revolution "                                                            
 [8] "stephen dorff careerdefining role cecil b demented crazed director devoted making radical underground film "                                                                                                                                                              
 [9] "together film production cult sprocket holes wear tattoos peckinpah lee fuller castle anger fassbinder preminger various parts bodies badges honor kidnap hollywood movie starlet played perfect ridiculousness melaine griffith force take starring role dementeds film "
[10] " budget contracts extras demented crew take streets production raving beauty crass terrorist film angry owner independent theater brood destroy mainstream film business "                                                                                                
[11] "using ultimate reality real bullets real people real terror demented crew misfits attack mall theater terrorize maryland film commission crash movie studio shooting certain sequel really annoying tom hanks film "                                                      
[12] "dementeds crewmembers maimed killed popcorn machines used target practice one can sex film complete "                                                                                                                                                                     
[13] " like bowfinger know good "                                                                                                                                                                                                                                               
[14] " film moves zigs zags like magic bullet kennedys assassination "                                                                                                                                                                                                          
[15] " zeal dementeds cause catches quickly conveys urgent message something anything accomplishment artistic motivations "                                                                                                                                                     
[16] " crewmembers hold quirkiness common waters previous films pink flamingos hairspray polyester pecker speak choppy jaded dialogue used frequently waters "                                                                                                                  
[17] " waters script strips away unnecessary dialogue common pretentious indie films just delivers goods "                                                                                                                                                                      
[18] "cecil takes warped avenues expression seems like might actually outdo "                                                                                                                                                                                                   
[19] " can see major studio might take film reedit cut deal remaining crew members still alive make sequels la blair witch project "                                                                                                                                            
[20] " thats future "                                                                                                                                                                                                                                                           
[21] "overall ride fantastic one waters best films date years fight club filmmakers "                                                                                                                                                                                           
[22] "directorwriter john waters starring stephen dorff melaine griffith alicia witt adrian grenier larry gilliard jr mink stole ricki lake kevin nealon producers john fielder mark tarlov anthony delorenzo joe caraccio jr "                                                 
