 [1] " computeranimated comedy shrek designed enjoyed different levels different groups "                                                                                                                                                              
 [2] " children offers imaginative visuals appealing new characters mixed host familiar faces loads action barrage big laughs including numerous gags related body functions yucky substances apparently requisite contemporary family films "         
 [3] " adults fractured fairy tale packed rude jokes will sail heads kids "                                                                                                                                                                            
 [4] " shrek snappy ride although couple points found disturbing "                                                                                                                                                                                     
 [5] " first basics "                                                                                                                                                                                                                                  
 [6] "based loosely childrens story shrek follows several momentous days life title character rotund green ogre voiced mike myers pleasant scottish accent fond using "                                                                                
 [7] "shrek grumpy fellow living solitary life deep swamp local nobleman disturbs peace "                                                                                                                                                              
 [8] "petty tyrant lord farquaad take away awk middle basis string impolite oneliners owns land shrek resides "                                                                                                                                        
 [9] " proceeds turn ogres yard ellis island storybook characters banishes fanciful beings castle "                                                                                                                                                    
[10] " result shrek finds surrounded legends like three blind mice pinocchio big bad wolf seven dwarfs three bears name "                                                                                                                              
[11] " enraged shrek storms castle find farquaad john lithgow ready bargain "                                                                                                                                                                          
[12] "lord obnoxious wants become king magic mirror snow white shown way "                                                                                                                                                                             
[13] " rescue damsel distress make wife "                                                                                                                                                                                                              
[14] " mirror unveils three choices presentation straight dating game snow white shown cheeky announcer purrs even though lives seven men shes easy "                                                                                                  
[15] "farquaad selects lovely princess fiona cameron diaz offers shrek deal ogre snatches fiona dragonprotected lava moatfilled castle held captive brings throne lord will allow fairy tale pests move back grounds "                                 
[16] "shrek reluctantly agrees sets quest accompanied motormouthed donkey eddie murphy determined make green grump best friend "                                                                                                                       
[17] " finally hook princess learn helpless maiden expected meet "                                                                                                                                                                                     
[18] " matter dragon offers surprises well "                                                                                                                                                                                                           
[19] " movie references great many flicks babe thatll donkey "                                                                                                                                                                                         
[20] "thatll graduate "                                                                                                                                                                                                                                
[21] " lions share jokes come expense wonderful world disney "                                                                                                                                                                                         
[22] " publicdomain characters made icons various disney films take hits pinocchio referred possessed toy shrek spies sleeping snow white cabin bellows get dead broad table "                                                                         
[23] " biggest slams come shrek visits farquaads royal domicile closely resembles certain magic kingdom souvenir stands queue lines display animatronic figures sing palace rules relentlessly peppy tune sounds lot like small world "                
[24] " brings disturbing point number one "                                                                                                                                                                                                            
[25] " laughed disney swipes found mentality behind bit sad "                                                                                                                                                                                          
[26] " acrimony dreamworks honcho jeff katzenberg disney big wheel michael eisner well known "                                                                                                                                                         
[27] " years two companies tried sabotage others film video releases issuing similar competing productions day "                                                                                                                                       
[28] " now katzenberg using entire movie attack former employer "                                                                                                                                                                                      
[29] "heres suggestion two boys grow "                                                                                                                                                                                                                 
[30] "put past behind "                                                                                                                                                                                                                                
[31] "theres room sandbox farquaads cant play nice go rooms "                                                                                                                                                                                          
[32] " area found troubling came portrayal lord farquaad "                                                                                                                                                                                             
[33] "beyond irreverence shrek actually message people learn look beyond physical appearances true beauty lies within "                                                                                                                                
[34] " lovely notion film betrays moral incessantly taking cheap shots farquaads diminutive stature "                                                                                                                                                  
[35] " really need family film reinforcing idea mocking short people acceptable "                                                                                                                                                                      
[36] " pompous selfish behavior farquaad enough make target zingers "                                                                                                                                                                                  
[37] "adding short jokes simply mean "                                                                                                                                                                                                                 
[38] "still shrek rollicking good time "                                                                                                                                                                                                               
[39] " computer animation mostly impressive although several key characters look like animated rubber squeeze toys human movements often jerky voice work strong particularly eddie murphy laughs come fast furious moral tainted though may good one "
[40] " trot clich shrek fun ages "                                                                                                                                                                                                                     
[41] "parents though remind young ones ride home taunting others short tall skinny fat etc bad thing "                                                                                                                                                 
