 [1] " wake smashing success rumble bronx looking likely jackie chan films will see american release "                                                                                                                                                                                     
 [2] "rumor one films will drunken master ii "                                                                                                                                                                                                                                             
 [3] " version copy laserdisc widescreen bilinguallysubtitled hong kong films days "                                                                                                                                                                                                       
 [4] "availability united states limited films must either purchased via pirates sought asian distributors tai seng "                                                                                                                                                                      
 [5] " subtitling copy slightly hard read letters white bit small "                                                                                                                                                                                                                        
 [6] "although american release will almost certainly dubbed review subtitled version please keep mind youre reading review help decide whether go see "                                                                                                                                   
 [7] " fair must admit ive never fond periodpiece martial arts moviesthe ones set nebulous china distant distant past "                                                                                                                                                                    
 [8] "perhaps ive seen filmed inferior stock either butchered dubbing allbutillegible subtitling perhaps plots tend similar many cases nonexistant "                                                                                                                                       
 [9] " fact many get wrapped subplots seem forget main plot entirely minutes end "                                                                                                                                                                                                         
[10] " matter might jackie chan films modern settings armour god rumble bronx etc tend spectacular stunts often involving large motor vehicles large explosions whereas period pieces simply martial arts "                                                                                
[11] " said must now turn right around say drunken master ii remarkable exception one better martial arts films ive seen quite enjoyed "                                                                                                                                                   
[12] "surprised "                                                                                                                                                                                                                                                                          
[13] "well "                                                                                                                                                                                                                                                                               
[14] "drunken master ii young man named wong feihong played jackie chan master drunken boxing style kung fu "                                                                                                                                                                              
[15] " learned style uncertain father wong keiying ti lung steadfast opposition feihongs practicing rather normal style kung fu "                                                                                                                                                          
[16] "apparently feihong sort figure chinese folklore rather like paul bunyan americans ive heard little quite well wrong ill leave analysis people know better "                                                                                                                          
[17] "one friends points character wong feihong also featured upon time china movies yet seen "                                                                                                                                                                                            
[18] " plot drunken master ii somewhat hazy plots many films youre watching jackie chan film odds arent expecting something order war peace "                                                                                                                                              
[19] " story seems revolve around evil foreigners spiriting away ancient chinese relics hence chinas cultural heritage overworking underpaying beating chinese workers nearby steel mill "                                                                                                 
[20] "however plot merely serves framework main story filmfeihongs perpetual struggle win girlfriend supplicate father keep pregnant mother played anita mui fighting keep getting beaten evil foreigner thugs "                                                                           
[21] " macguffin drives plot s precious antique jade imperial seal taken away evil foreigners "                                                                                                                                                                                            
[22] " beginning feihong accidentally steals trying recover identicallywrapped box containing medicinal ginseng father bringing back customer "                                                                                                                                            
[23] " process clashes another thief trying seal ends instead ginseng "                                                                                                                                                                                                                    
[24] " feihong narrowly avoids getting caught seal evil foreigners lackies thanks timely intervention generals son cameo appearance andy lau later take starring role drunken master iii comedic chaos ensues back wong household feihong mother attempt come replacement missing ginseng "
[25] " goes "                                                                                                                                                                                                                                                                              
[26] " plot thickens later feihongs girlfriend maneuvers kung fu match rival feihong thief now revealed loyalist manchu officer trying recover seal stop evil foreigners attacked en masse another grand kungfu movie tradition think ive already spent time plot really deserves "        
[27] "lets move real draw jackie chan movies "                                                                                                                                                                                                                                             
[28] "action "                                                                                                                                                                                                                                                                             
[29] "theres plenty martial arts action found movie "                                                                                                                                                                                                                                      
[30] "course kung fu film thats expected "                                                                                                                                                                                                                                                 
[31] "however isnt just another kung fu movie one jackie chan fight stunt choreography jackie chan genius "                                                                                                                                                                                
[32] " primary martial arts style featured film drunken boxing form kung fu attempts draw adversary guard making seem like fellow using drunk "                                                                                                                                            
[33] " purposes film least drunken boxers fight better actually intoxicated "                                                                                                                                                                                                              
[34] "theres fine line just drunk enough drunk stupor "                                                                                                                                                                                                                                    
[35] " normal circumstances idea someone staggering around looking sloshed managing fight effectively even incredibly might seem rather stupid jackie pulls flair "                                                                                                                        
[36] " kung fu sequences intricate staging execution pointless try describe paper ill just say fightsespecially big climactic fight endin make movie worth watching "                                                                                                                      
[37] "another thing drunken master ii going stunt work "                                                                                                                                                                                                                                   
[38] "even without motor vehicles well counting train remarkable stunts film "                                                                                                                                                                                                             
[39] "among things jackie dives balcony table crawls across hot coals least twice count outtake shown credits "                                                                                                                                                                            
[40] " quicktime movies stunts can found www movie database "                                                                                                                                                                                                                              
[41] "unlike american films stunts faked "                                                                                                                                                                                                                                                 
[42] "drunken master ii stars several veteran actors hong kong movie scene including jackie ti lung better tomorrow anita mui heroic trio series rumble bronx "                                                                                                                            
[43] " performances firstrate especially comes comedy parts film "                                                                                                                                                                                                                         
[44] " scene feihong mother conspire literally behind feihongs fathers back cover missing ginseng root hilarious scene feihongs mother just revealed pregnant threatening hurt order draw husbands anger away feihong "                                                                    
[45] "jackie developed knack physical comedy sort mastery years hes fine form drunken master ii "                                                                                                                                                                                          
[46] " far cinematography concerned certainly works film "                                                                                                                                                                                                                                 
[47] " nothing spectacular least dozen times better old kung fu movies s "                                                                                                                                                                                                                 
[48] " picture crisp clear "                                                                                                                                                                                                                                                               
[49] "one thing find particularly worthy mention least copy screen wider film ive ever seen videotape beforealmost whole screen blocked "                                                                                                                                                  
[50] " watch bigscreen tv movie theater can "                                                                                                                                                                                                                                              
[51] " will utter shame film eventually panandscanned american video release "                                                                                                                                                                                                             
[52] "drunken master ii shows full potential period piece kung fu movies good enough overcome even usual distaste movies "                                                                                                                                                                 
[53] " plot meander bit thats expected type film "                                                                                                                                                                                                                                         
[54] " like kind movie youll love movie well give chance anyway "                                                                                                                                                                                                                          
[55] " nothing else martial arts stunt sequences worth price admission rental "                                                                                                                                                                                                            
