 [1] "theres old saying states something leaving best last "                                                                                                                                                                                                  
 [2] "george lucas certainly followed adage crafting original star wars trilogy "                                                                                                                                                                             
 [3] "return jedi final installment series easily innovative actionpacked entertaining three films "                                                                                                                                                          
 [4] " dark eerie atmosphere oozed every frame empire strikes back gone "                                                                                                                                                                                     
 [5] "instead return jedi good triumphing decisively evil resolution love triangle walking teddy bears "                                                                                                                                                      
 [6] "even darth vader doesnt seem intimidating time around "                                                                                                                                                                                                 
 [7] " arrival emperor apparitionlike creature played ian mcdiarmid vader turned somewhat henchman "                                                                                                                                                          
 [8] "return jedi picks unspecified time conclusion empire strikes back "                                                                                                                                                                                     
 [9] "luke skywalker mark hamill princess leia carrie fisher lando calrissian billy dee williams chewbacca peter mayhew cp anthony daniels rd kenny baker rescue mission lukes home planet tatooine "                                                         
[10] " goal save han solo harrison ford clutches intergalactic gangster jabba hutt "                                                                                                                                                                          
[11] " jabbas home creepylooking stone fortress guarded hognosed beasts added special effects come play "                                                                                                                                                     
[12] " hysterical scene involving music group dreaded beast outside jabbas sand barge effects top notch "                                                                                                                                                     
[13] " soon han freed cryofreeze rescued clutches evil jabba hutt back outer space rebel alliance face empires newest threat second powerful death star activated spell doom anyone stands emperor "                                                          
[14] " fleet prepares final battle luke company travel forest moon endor knock shield defends death star attacks "                                                                                                                                            
[15] " befriended ewoks teddy bearlike native race luke fearing presence endangering group turns vader "                                                                                                                                                      
[16] "return jedi interesting elements "                                                                                                                                                                                                                      
[17] " scenes pitted luke emperor vader suitably tense wellacted "                                                                                                                                                                                            
[18] " technical pointofview space battles amazing easily hindering anything depicted previous films "                                                                                                                                                        
[19] " many many ships speed range movement dramatically improved "                                                                                                                                                                                           
[20] " one level return jedi almost worth watching special effects "                                                                                                                                                                                          
[21] " special edition even ships added making final space battle incredibly fun watch "                                                                                                                                                                      
[22] " acting return jedi stronger previous films "                                                                                                                                                                                                           
[23] " now mark hamill harrison ford carrie fisher matured onscreen personas "                                                                                                                                                                                
[24] " chemistry amongst trio terrific "                                                                                                                                                                                                                      
[25] " empire billy dee williams gives us another human hero root "                                                                                                                                                                                           
[26] "newcomer ian mcdiarmid plays emperor suitably creepy cunning evil creature although hes imposing vader star wars "                                                                                                                                      
[27] "although great fun watching star wars empire strikes back big screen return jedi generates greater sense enjoyment "                                                                                                                                    
[28] " spectacular new special effects adorable ewoks sinister jabba hutt evil emperor old millenium falcon darth vaders incredible betrayal destruction new death star always lovable yoda return jedi concludes one greatest trilogies ever made huge bang "
[29] "congratulations george lucas whose innovative mind entertains us now will continue entertain generations come "                                                                                                                                         
[30] " "                                                                                                                                                                                                                                                      
