 [1] "originally launched popular film reintroduced whole new generation moviegoers "                                                                                                                                                                                                                      
 [2] "based mighty successful musical broadway grease followed less stellar grease "                                                                                                                                                                                                                       
 [3] "starring young michelle pheiffer one first feature film roles "                                                                                                                                                                                                                                      
 [4] "plot highschool musical set s showcasing relationship cool danny zuko tbirds travolta innocent pure sandy olsen newtonjohn australia "                                                                                                                                                               
 [5] " film follows couple vivacious friends last year rydell high song dance humour "                                                                                                                                                                                                                     
 [6] "critique funloving energetic innocent look back times much simpler "                                                                                                                                                                                                                                 
 [7] " movie effectively juggles thin romantic story line overall experience s superb soundtrack great dance numbers "                                                                                                                                                                                     
 [8] "admittedly somewhat biased opinion since film blasts past rebellious youth grease one schmoes first bigscreen experiences every scene sends reeling times elaborate grease bubblegum card collection lesser responsibilities possessed time "                                                        
 [9] " apart nostalgic vibe still extremely impressed film continued amuse despite previous dozen viewings "                                                                                                                                                                                               
[10] " film took john travolta dimwitted sweathog tvs welcome back kotter transformed moviestar spectacular proportions saturday night fever confirmed sudden popularity "                                                                                                                                 
[11] "unfortunately rest cast popularity terribly contagious despite effective showings classic movie "                                                                                                                                                                                                    
[12] " side absolute innocence film might bore turn people like sandy sings drinking lemonade staying danny summer nights plot isnt exactly elaborate storyline ever created despite small reservations movie carries enough great music high energy keep anyone amused rapid minute running time believe "
[13] " fan musicals "                                                                                                                                                                                                                                                                                      
[14] "make sure look young lorenzo lamas static role brainless football player well national bandstand dance contest one films absolute highlights "                                                                                                                                                       
[15] " dont forget buy popular soundtrack afterwards listen peppy tunes whenever youre feeling little blue "                                                                                                                                                                                               
[16] "little known facts henry winkler tvs happy days fonzie fame turned part danny zuko want typecast rest career "                                                                                                                                                                                       
[17] " travolta conaway smitten newtonjohn filming picture "                                                                                                                                                                                                                                               
[18] "conaway eventually bowed woofest married newtonjohns sister year later divorced five years "                                                                                                                                                                                                         
