 [1] "ever wonder happened gabe kaplan "                                                                                                                                                                                                     
 [2] " remember title character s sitcom welcome back kotter "                                                                                                                                                                               
 [3] "always trying help sweathogs frequently trying dodge mr woodman ever wary wifes tuna casserole "                                                                                                                                       
 [4] " ask now "                                                                                                                                                                                                                             
 [5] "mr kaplan actually spends much time days playing professional highstakes poker "                                                                                                                                                       
 [6] "thats right "                                                                                                                                                                                                                          
 [7] "im sure main source income ive heard guy occasionally comes away time "                                                                                                                                                                
 [8] " thinking going tell offbroadway theater "                                                                                                                                                                                             
 [9] " silly goose "                                                                                                                                                                                                                         
[10] "well gabe kaplan isnt movie rounders film actor come gamblers life "                                                                                                                                                                   
[11] " rounders poker gabe plays poker thought kind neat connection "                                                                                                                                                                        
[12] "sorry segue lack thereof "                                                                                                                                                                                                             
[13] "matt damon plays mike mcdermott law student also singular talent game poker "                                                                                                                                                          
[14] "hes playing proficient caught bug "                                                                                                                                                                                                    
[15] " goes underground games new york city knows regulars knows win "                                                                                                                                                                       
[16] " beginning film hes built nice thirty grand nest egg takes speakeasytype gaming parlor big boys play "                                                                                                                                 
[17] "mike make bid upper echelon staking teddy kgb john malkovich oreomunching cardshark ties russian mafia "                                                                                                                               
[18] "mike potential take large pot go vegas buy world series poker instead loses single hand "                                                                                                                                              
[19] "months later hes paying way law school driving delivery truck "                                                                                                                                                                        
[20] " mikes best friend poker buddy worm edward norton finishes jail term hustling students wants pick right left working team part others betting cash "                                                                                   
[21] "although mike stopped playing cards promise girlfriend fellow law student jo gretchen mol worm connives mike playing mike bitten bug slides slippery slope risking relationship education reputation playing poker becomes focus life "
[22] " make film gambling filmmaker will usually play glamorous side get audience behind characters "                                                                                                                                        
[23] " moviegoers will care whole lot guy leisure suit terry cloth shirt sitting folding card table stogie mouth "                                                                                                                           
[24] "rounders however seems go latter former "                                                                                                                                                                                              
[25] " card clubs mike worm frequent arent glamorous "                                                                                                                                                                                       
[26] "theres basement lodge elk heads wall goulash joint kinds locales director john dahl sets shots "                                                                                                                                       
[27] "except one brief instance two players visit atlantic city film bereft flashing lights casinos pleasant color green felt table "                                                                                                        
[28] " reason rounders still captures attention less game poker personalities enjoy slaves "                                                                                                                                                 
[29] " given nice set interesting characters clear motivations good actors play "                                                                                                                                                            
[30] "matt damon natural mike struggles desire play straight narrow finishing law school answering may true calling playing professional poker "                                                                                             
[31] "ed nortons worm truly worm always looking angle playing everyone theyre worth "                                                                                                                                                        
[32] "john turturro amazes acting range tones film playing joey knish virtual poker prodigy time now plays underground games make rent child support payments "                                                                              
[33] "hes friend mentor mike turturros lowkey performance totally convincing just john malkovichs heavilyaccented teddy kgb imposing adversarial dragon mike must slay prove "                                                               
[34] "martin landau also thrown mix one mikes law professors abe petrovsky "                                                                                                                                                                 
[35] " landau slips well role character spitting personal anecdotes staying true ones self facilitates channeling storyline toward predictable ending "                                                                                      
[36] "perhaps weak link otherwise formidable lineup acting talent however gretchen mol just didnt seem much presence screen "                                                                                                                
[37] "shes genuine peach look kind cross actress renee zellweger singer jewel wouldnt surprised three formed kind blondhaired triumvirate attempted take world delivered lines seemed flat found looking matt damons reactions instead "     
[38] " good thing rounders doesnt get bogged character development statement making much cant find time humor "                                                                                                                              
[39] " film peppered nicely scenes make laugh keep pacing going sequence mike worm move rapidly around new york one game next widely different locales "                                                                                     
[40] "one game cigar club stitches "                                                                                                                                                                                                         
[41] " love sweetness dark maduro wrapper says one players clearly interested displaying pretentiousness cigar one hand cards "                                                                                                              
[42] " hoping mike worm really take guys "                                                                                                                                                                                                   
[43] " poker played rounders potential confusing "                                                                                                                                                                                           
[44] " might think know lot poker think "                                                                                                                                                                                                    
[45] "luckily given narration damon intricate moments explain whats going "                                                                                                                                                                  
[46] " narrations informative intrusive apprise us stakes certain players want things "                                                                                                                                                      
[47] " nice characters develop comprehension world "                                                                                                                                                                                         
[48] " film success survival realm underground poker rounders delivers spades "                                                                                                                                                              
[49] "wait "                                                                                                                                                                                                                                 
[50] " film culture cards rounders ace "                                                                                                                                                                                                     
[51] "hang "                                                                                                                                                                                                                                 
[52] "packed great acting great characters rounders full house "                                                                                                                                                                             
[53] "okay guess thats enough "                                                                                                                                                                                                              
[54] "oh way ever want get game ol gabe kaplan sure bring note epsteins mother "                                                                                                                                                             
