 [1] " reviewer ignorant hands responsible delivering original version abyss "                                                                                                                                                                             
 [2] "whether meddling studio executives work writerdirector james cameron original cut underwater scifi thriller entertaining enough also quite seriously flawed "                                                                                        
 [3] " main problem fairly simple films climax unworthy buildup "                                                                                                                                                                                          
 [4] "someone th century fox doubt cameron must agreed came theatrical release abyss special edition "                                                                                                                                                     
 [5] "now available video seems timely reevaluate newly revamped state now nearmasterpiece despite borrowings films like odyssey two alien close encounters third kind "                                                                                   
 [6] " plot thus "                                                                                                                                                                                                                                         
 [7] " meet crew experimental underwater mobile oil rig designed hardnosed lindsay mastrantonio captained soontobedivorced husband bud ed harris "                                                                                                         
 [8] " rig crew diverted normal duties navy seeks help investigating mysterious sinking u s nuclear submarine "                                                                                                                                            
 [9] "requiring dive partway three mile deep trench three navy divers arrive command operation led edgy lieutenant coffey biehn "                                                                                                                          
[10] " series strange sightings soon convinces least one member civilian crew whoever whatever theyre dealing memorably puts arent speaking russian "                                                                                                      
[11] "meanwhile surface hurricane brewing even worse series incidents around cuba involving russians ships increasingly nervous u s navy sets international crisis possible catastrophic proportions "                                                     
[12] " crisis mirrored confines now isolated underwater rig triggerhappy increasingly paranoid lieutenant coffey odds crew deal mysterious goingson around "                                                                                               
[13] " human drama often riveting principal players performing intensity recalls fine ensemble acting camerons aliens "                                                                                                                                    
[14] " stunts hardware special effects underwater cinematography outstanding "                                                                                                                                                                             
[15] " camerons technical credentials well established "                                                                                                                                                                                                   
[16] " ultimately makes film gripping three intersecting plot strands tension old sparring partners lindsay exhubby bud war wills civilian crew navy divers series escalating crisis befall slowly unfolding revelation lies bottom three mile deep abyss "
[17] " abyss special edition improvement original film two major respects "                                                                                                                                                                                
[18] "one fleshes relationship bud lindsay relationship times touching others incredibly intense volatile "                                                                                                                                                
[19] " second improvement restoration absolutely crucial scenes towards films end aliens demonstrate control water terrifying extraordinary display power world brink nuclear war "                                                                        
[20] " inclusion startling scenes storys climax now given real weight "                                                                                                                                                                                    
[21] " earth left original "                                                                                                                                                                                                                               
[22] " reviewer finds utterly incomprehensible "                                                                                                                                                                                                           
[23] " minutes additional footage thats turned decent underwater thriller something quite magnificent "                                                                                                                                                    
[24] " say quite flaws remain "                                                                                                                                                                                                                            
[25] " grating several moments corny hollywood schmaltz new old may well reaching barf bag "                                                                                                                                                               
[26] "nonetheless abyss special edition now stands somewhat maligned film among james camerons greatest achievements alongside aliens terminator see moved gripped spellbound "                                                                            
