 [1] " know fate childs play almost film days marginally well financially sequel hell "                                                                                                                                                                                                       
 [2] " newest installment quasipopular series currently bride chucky grossed million opening weekend think sign apocalypse number five kinda fun go back see began rougly ten years ago original task retread others namely chance see fuss "                                                 
 [3] "alas original childs play actually isnt bad "                                                                                                                                                                                                                                           
 [4] "even seeing tiny claustrophobic mechanicallychallenged theatre college wasnt horribly dull experience thought just nicely rowdy crowd almost need watch film like dont believe try watch flick one day whole isnt bad movie "                                                           
 [5] " great two things many horror films like one dont rather nifty premise sense humor save horror hell precisely say know last summer recently gone "                                                                                                                                      
 [6] " premise childs play serial killer named charles lee ray brad douriff shot almost killed chicago hardboiled detective chris surrandon see happens oscar nominees dies utters voodoo chant sends soul directly kids doll called chucky doll got scariestlooking kids doll ive ever seen "
 [7] " next day bum whos stolen sells singlemother karen barclay catherine hicks gives young son andy alex vincent birthday "                                                                                                                                                                 
 [8] " course chucky begins talking kid trying find way get doll certain twists come "                                                                                                                                                                                                        
 [9] "like guy learned voodoo reveals way break curse take body first person told inside doll andy "                                                                                                                                                                                          
[10] " soon enough chucky killing people either revenge seems like fun people discovering chucky isnt just kiddie doll one one "                                                                                                                                                              
[11] " idea neat one ripe lots comic terror luckily utlizes lot "                                                                                                                                                                                                                             
[12] " plays idea stolen classic looney toons short someone knows chucky alive tell people tries prove chucky nothing everyone thinks theyre crazy "                                                                                                                                          
[13] " plays well whole childlike thought dolls toys come life even manages cram couple really frightening moments "                                                                                                                                                                          
[14] "even theres entire sequence devoted cliches woman alone house hears noise goes investigate finds nothing wait kicker second later "                                                                                                                                                     
[15] "theres also harrowing car ride chucky trying knife detective back seat trying attack car finally crashes leaving viewer least rather visceral exprience "                                                                                                                               
[16] " ending rather fun well albeit tad drawnout four different endings maybe five characters intelligent average horror film lineup making easier sympathize "                                                                                                                              
[17] " theres one horrible thing many horror films protagonists morons cant help shout obscenities part childs play steers away "                                                                                                                                                             
[18] " chucky character good one just provides instant comic relief look "                                                                                                                                                                                                                    
[19] " dolls moving hes generally scary character "                                                                                                                                                                                                                                           
[20] " theres anything really wrong childs play trite less self esteem "                                                                                                                                                                                                                      
[21] " almost minutes childs play features way less real classic horror "                                                                                                                                                                                                                     
[22] " throws simple three act setup renders quick almost forgettable werent fact film deals psychotic doll "                                                                                                                                                                                 
[23] " film confidence presenting really push envelope become even just short bit horror escapism precisely kind film memorable cheap little horor film "                                                                                                                                     
[24] "isnt necessarily bad thing "                                                                                                                                                                                                                                                            
[25] " childs play content just short typical horror film saves via sense humor nice quasicampy feel makes much enjoyable average short typical horror film "                                                                                                                                 
