 [1] " friends went live usa complain one thing country different one depicted hollywood movies "                                                                                                                                                                    
 [2] " especially true end somewhere unexplored land los angeles new york find big surprise majority people vote republican go church every sunday usually dont tolerate liberal attitudes taken granted average american film "                                     
 [3] " rude awakening however can happen another direction conservative people sometimes forced discover unpleasant truths world live "                                                                                                                              
 [4] "something like happens jake van dorn george c scott successful grand rapids businessman shares strong calvinist convictions rest community "                                                                                                                   
 [5] "one day daughter kristen ilah davis disappears calvinist youth convention california "                                                                                                                                                                         
 [6] "van dorn worried doesnt believe daughter run home "                                                                                                                                                                                                            
 [7] "however truth delivered private investigator andy mast peter boyle even harder kristen spotted cheap pornographic film "                                                                                                                                       
 [8] "infuriated van dorn unsatisfied way masts investigation going goes los angeles search kristen "                                                                                                                                                                
 [9] "unfortunately lacks experience quest brought utter depths sex underworld fruitless "                                                                                                                                                                           
[10] "things change devises cunning plan stumbles sympathetic prostitute part time porno actress nicky season hubley "                                                                                                                                               
[11] "almost two decades release hardcore mostly forgotten critics film scholars "                                                                                                                                                                                   
[12] " real shame movies todays hollywood dare tackle controversial issues writer director paul schrader explored second directorial attempt "                                                                                                                       
[13] " late s totally different situation films expected mature serious themes mature audience "                                                                                                                                                                     
[14] " schrader film nice opportunity expand subplot previous work taxi driver one deals great generational divide tormented american society s "                                                                                                                    
[15] " one side old america sticks puritan ideals hard work strict morals made country great "                                                                                                                                                                       
[16] " america obviously unable cope new challenges brought social turmoil s instead facing prefers live rural conservative cocoons "                                                                                                                                
[17] " new america hand fares better ideals socalled sexual revolution revolutions swinging sixties degraded exploitation depravity "                                                                                                                                
[18] "instead liberated baby boomers stuck inability cope newly discovered freedoms "                                                                                                                                                                                
[19] "schrader cleverly brings idea two americas actually arent far away nice example brilliant scene van dorn already described authoritarian paternalistic capitalist meets sleazy porno producer latter one also turns authoritarian paternalistic dedicated job "
[20] " difference two simply line work "                                                                                                                                                                                                                             
[21] "many contemporary critics actually accused schrader promoting conservative agenda "                                                                                                                                                                            
[22] " surface may look way audience forced sympathise van dorn quest "                                                                                                                                                                                              
[23] " first scenes portrayed nice family man actually doesnt deserve experience parents worst nightmare "                                                                                                                                                           
[24] " scene porno cinema reveals kristens fate extremely cruel pain humiliation brought oscarwinning actor george c scott intensity audience feels sorry simply must support agenda "                                                                               
[25] "van dorn perhaps flawed subtle hints lead unflattering truth end viewers simply know cause just prodigal daughter must better loving father sleazy pornographers want exploit body "                                                                           
[26] " hand schrader grew environment much like van dorns parents wouldnt allow watch movies knows better tries bring another side coin "                                                                                                                            
[27] "even people connected sex underworld can show redeeming qualities like nicky actually tries improve life sleazy detective develops something like conscience end "                                                                                             
[28] "unfortunately schrader fails erase impact shocking scene beginning attempt reconcile opposing sides america seems lost somewhat clich d finale "                                                                                                               
[29] " script slightly flawed schrader director doesnt show much originality style seems influenced techniques scorsese used taxi driver "                                                                                                                           
[30] "apart scenes grand rapids two films even look alike "                                                                                                                                                                                                          
[31] " content might interesting todays viewer especially inspired current s revival "                                                                                                                                                                               
[32] " boogie nights hollywood mainstream movie ever dared explore phenomenon pornography s "                                                                                                                                                                        
[33] "hardcore hand might serve precious document depicts sex film industry period often regarded golden age connoisseurs advent video many porno filmmakers afford think artists "                                                                                  
[34] " view age industry unflattering though film whose main character takes time explain calvinist doctrines audience shouldnt surprising "                                                                                                                         
[35] "anyway despite flaws hardcore remains interesting powerful piece cinema "                                                                                                                                                                                      
