 [1] " lost faith pg movies intended teenagers adults "                                                                                                                                           
 [2] " last dozen seen felt incomplete crucial scene deleted order obtain lucrative rating "                                                                                                      
 [3] "however seeing creative frequency last week now exciting u bias beginning go away "                                                                                                         
 [4] " films innocuous younger viewers intellectual older viewers "                                                                                                                               
 [5] "even better didnt think either one films good first instincts "                                                                                                                             
 [6] "everyone loves surprises "                                                                                                                                                                  
 [7] "u looked like another action film using actual war excuse shoot torpedoes bullets "                                                                                                         
 [8] " may true action extraordinary clear directorcowriter jonathan mostow completed ultimate goal blow audiences socks "                                                                        
 [9] "set early stages world war united states struggled break codes technologically advanced german uboats u follows small crew american men swipe typewriter necessary solve enigma enemy ship "
[10] "theres one problem american ship came hoped return shot stranding men german submarine known guessed u "                                                                                    
[11] " now mostly young inexperienced sailors led interim captain named tyler matthew mcconaughey return typewriter america without getting sunk far superior german ships "                      
[12] " film starts slowly somewhat weak opening action sequence another uneventful half hour introduce several sailors die mission goes awry just inexplicably disappear "                        
[13] " crew gets uboat movie shifts another level never leaves high energy level ending credits roll "                                                                                            
[14] " soon action starts stop luckily exciting didnt want stop "                                                                                                                                 
[15] " movie wanting avoid loud noises wonderful heartpounding score constant yelling panicking men make sure see theater surroundsound otherwise see "                                           
[16] " best parts u tyler forced make impromptu decisions escape seemingly impossible situations "                                                                                                
[17] "throughout movie several morals characters introduced make tylers job stressful possible "                                                                                                  
[18] "germans gun men tylers mentor captain dahlgren warns captain prepared sacrifice even beloved soldiers victory another sailor erik palladino threatens mutiny "                              
[19] " examples several others increase chaotic atmosphere importance tylers every move "                                                                                                         
[20] " also make u one exhilarating movies seen "                                                                                                                                                 
