 [1] "tone alone sustain film can go long way "                                                                                                                                                
 [2] " can find lost time place story scores immediate style points "                                                                                                                          
 [3] " tone backed outstanding story great acting effect can described best adjective use lightly literary "                                                                                   
 [4] "whats eating gilbert grape "                                                                                                                                                             
 [5] " film "                                                                                                                                                                                  
 [6] " rich memorable stunningly acted story desire colliding responsibility staged manner many viewers might find prosaic insinuated imagination confidence "                                 
 [7] "gilbert grape johnny depp young man living rural endora iowa facing incredible responsibilities "                                                                                        
 [8] " man house since fathers suicide gilbert must support family working local grocery store "                                                                                               
 [9] " also must watch mentally handicapped brother arnie leonardo dicaprio help care extremely overweight mother darlene cates "                                                              
[10] "gilbert seems destined spend rest life small town arrival endora becky juliette lewis free spirit passing grandmother truck breaks "                                                     
[11] " spends time becky gilbert begins think things missing "                                                                                                                                 
[12] "slowly resentment builds realizes can longer live entire life people "                                                                                                                   
[13] "director lasse hallstrom life dog legendary cinematographer sven nykvist create magnificent visual backdrop peter hedges screenplay based novel "                                        
[14] "endora town edge world represented giant foodmart tiny insular community everyone knows everyone else "                                                                                  
[15] " midwestern sunsets sprawling fields beautifully photographed atmosphere town intensely real "                                                                                           
[16] "minor characters like crispin glover towns mortician vividly realized echoes last picture show mary steenburgens desperately unhappy housewife "                                         
[17] "one perfectly realized scenes focuses grand opening burger franchise attended entire town accompanied offkey high school band "                                                          
[18] " single note depiction endora rang false "                                                                                                                                               
[19] " can said character gilbert "                                                                                                                                                            
[20] " testimony precision involved creation came together completely one perfectly placed line becky responds gilberts description father knew someone like "                                 
[21] "gilbert man harboring evergrowing bitterness finds life bitterness reveals moments surprising cruelty "                                                                                  
[22] " one scene allows local children look mother window displaying like side show attraction "                                                                                               
[23] " entire life seems mocked arnies repeated chants going anywhere instead expressing dissatisfaction lets anger simmer becomes clear following fathers footsteps regard "                  
[24] "johnny depp expertly demonstrates tension central gilbert playing everything surface never gives onedimensional blankness simply regurgitates naif roles benny joon edward scissorhands "
[25] "depps performance overshadowed however leonardo dicaprios astonishing oscarnominated supporting work arnie "                                                                             
[26] " puts shame big name actors john malkovich dustin hoffman whose mentally challenged characters never seemed completely real "                                                            
[27] "dicaprio perfect last twitch squeal anyone ever spent time mentally challenged kids will hardpressed spot flaw "                                                                         
[28] "darlene cates firsttime actor brings real pain scenes gilberts tortured mother laura harrington mary kate schellhardt solid gilberts sisters "                                           
[29] " juliette lewis doesnt quite click playing critical role now familiar dopey drone little genuine spark "                                                                                 
[30] "gilbert grape seem drift conclusion never lost "                                                                                                                                         
[31] "thanks lovingly created setting marvelous cast release proves well worth wait "                                                                                                          
