 [1] "hollywood "                                                                                                                                                                                                        
 [2] "batting average elmore leonard adaptations "                                                                                                                                                                       
 [3] "last years touch illconceived just plain odd get shorty jackie brown now sight highly entertaining movies "                                                                                                        
 [4] "steven soderburgh master sex lies videotape now adds crime repertoire tale bank robbery prison doublecrossing uncut diamonds oh yeah true love "                                                                   
 [5] "george clooney protagonist risky choice duds batman robin peacemaker didnt want slap taste mouth "                                                                                                                 
 [6] " plays role sight suave cary granttype perfected hitchcock movies kind guy crime just profession like "                                                                                                            
 [7] "nowhere present clooneys usual aintisexy sneer theres just enough leftover lightheartedness fit leonard style "                                                                                                    
 [8] "clooney definitely perfect successor john travolta get shorty "                                                                                                                                                    
 [9] "clooney plays man whos robbed banks without ever using gun "                                                                                                                                                       
[10] " opening scene walks one bank robs ease charm "                                                                                                                                                                    
[11] " course gets caught good "                                                                                                                                                                                         
[12] " time florida prison clooney learns one rich inmates albert brooks frightful bald wig collection diamonds detroit "                                                                                                
[13] "clooney cohort ving rhames plan score protection artist fight promoter don cheadle begins rival plans "                                                                                                            
[14] "meanwhile theres jennifer lopez "                                                                                                                                                                                  
[15] "unintentionally funny selena intentionally funny anaconda shes finally graduated worthy role u s marshal happens driving jail night clooney escapes "                                                              
[16] "rhames waiting give ride stolen car lopez makes threesome hostage ass locked trunk clooney "                                                                                                                       
[17] "hes covered dirt gun neck little cramped manage make love connection anyway probably movie "                                                                                                                       
[18] " relationship clooney lopez heart movie one details elevates beyond normal noirish crime story "                                                                                                                   
[19] " leonard movies obsessed dialogue crime exception "                                                                                                                                                                
[20] "although theyre really germane plot lopezs relationship father dennis farina get shorty rhames relationship christian sister call sister christian popin cameo michael keaton lend extra class movie already full "
[21] " sight spans least three years nonlinear structure focusing jailbreak brooks score flashing back earlier times "                                                                                                   
[22] " movie brain smooth calculated clooney lopez characters "                                                                                                                                                          
[23] " entire cast material justice clooney lopez coming rhames cheadle cementing positions two favorites "                                                                                                              
[24] "heres hoping future leonard adaptations continue carry torch "                                                                                                                                                     
[25] "serving america almost th century "                                                                                                                                                                                
