 [1] " last steve martin film saw spanish prisoner different approach comic actor "                                                                                                         
 [2] " millionaire leading massive conspiracy order rob process clueless businessman martins character money "                                                                              
 [3] " recent movie bowfinger martin plays yet another con man except time succeed film industry "                                                                                          
 [4] " wants direct successful picture will force people remember name will make popular parties importantly will cause fed ex deliver important business packages front door "             
 [5] "playing title role martin good guy one cheer complete low budget action movie "                                                                                                       
 [6] " con man likeable reason even though exact thing malicious jimmy del spanish prisoner "                                                                                               
 [7] "maybe message hollywood win trust friendship others little evil "                                                                                                                     
 [8] "bowfinger clever comedy great performances two stars "                                                                                                                                
 [9] "martin also wrote screenplay perfect jerk conscience eddie murphy best peter sellers two different equally hilarious roles one big time move star nerdy burger king employee brother "
[10] " story follows aging failing directorproducer bobby bowfinger makes one last attempt become respected member field creating baction movie called chubby rain "                        
[11] " order attract actors crew members bowfinger promises hot shot actor kit ramsey will star movie "                                                                                     
[12] " problem kit refuses "                                                                                                                                                                
[13] " wont stop aggressive bowfinger "                                                                                                                                                     
[14] " determined complete film decides put kit without even telling "                                                                                                                      
[15] " actors approach kit streets los angeles character hidden camera filming footage "                                                                                                    
[16] "will bowfinger able make film "                                                                                                                                                       
[17] " will kit ramsey discover exactly going "                                                                                                                                             
[18] "bowfinger cartoonlike movie pokes fun hollywood famous residents simultaneously holding solid story line "                                                                            
[19] " area film really lacks cameo department "                                                                                                                                            
[20] " kind movie cameos always funny see actorsdirectorsproducers making fun coworkers especially playful movie "                                                                          
[21] "besides repetitive superflous ending bowfinger joy watch "                                                                                                                            
[22] " take movie like seriously will never enjoy "                                                                                                                                         
[23] " accept incredulous plot extreme caricatures real entertainment figures movie great fun "                                                                                             
