 [1] " understood passion understood calm "                                                           
 [2] "bud white walks home lynn bracken prostitute cut look like veronica lake "                      
 [3] "hes one l s finest investigating murder fellow cop one leads takes home "                       
 [4] " understood quiet thunder guy whos calm voice powerful arms "                                   
 [5] " understood shes supposed beautiful underneath face pain scraped lines say life much "          
 [6] " know without told "                                                                            
 [7] " youre first guy hasnt told look like veronicca lake minute says "                              
 [8] " look ten times better "                                                                        
 [9] " says without thinking "                                                                        
[10] "like knows without say anything "                                                               
[11] "whites face doesnt turn doesnt blush "                                                          
[12] " see eyes believe "                                                                             
[13] " perfect moment near perfect movie "                                                            
[14] "l confidential best movie year "                                                                
[15] " grace poetry richly layered work pure entertainment "                                          
[16] " portrait police morality works way characters real screen believe might soul "                 
[17] " phrase everything "                                                                            
[18] " funny exciting enough action adventure mystery grace suspense "                                
[19] " pinnacle movie complete work flawless film "                                                   
[20] " hard tell plot much plot "                                                                     
[21] "besides theres much describe "                                                                  
[22] "sure police searching corruption fights right reasons definition justice "                      
[23] " also feel look eyes characters film "                                                          
[24] "director curtis hanson perfectly framed character letting see rooting one moment doubting next "
[25] " actors work lines movie important weapon eyes "                                                
[26] " can tell person feeling just looking eyes one moment "                                         
[27] "russell crowe plays bud white muscle cop beef wife beaters "                                    
[28] " movements fierce "                                                                             
[29] " strikes jump hes calm know wont long "                                                         
[30] " intensity oozes screen "                                                                       
[31] " follow character movie afraid sympathy know good heart "                                       
[32] "hes looking way solve crimes youre just never sure hes going "                                  
[33] " counter ed exley played chisselled face guy pierce "                                           
[34] " feel character cops movie hes one thats actually trying right thing going book "               
[35] " know must face reality breaking book love way gets "                                           
[36] "ive seen l confidential twice immediately wanted hit rewind button watch "                      
[37] " didnt want theater experience end "                                                            
[38] " long time since actually experienced movie feeling like got something walked "                 
[39] "thats love movies great ones can rich powerful describe "                                       
[40] "watch l confidential leave theater feel like just watched classic movie "                       
[41] "thats la confidential stands best movie year "                                                  
[42] "l confidential directed curtis hanson "                                                         
[43] "starring russell crowe guy pierce kevin spacey james cromwell kim basinger "                    
