 [1] " first reel girls town just cant get lili taylor "                                                                                                                           
 [2] " possible remain unperturbed woman age playing high school student "                                                                                                         
 [3] "harder still can avoid astonishment perfect part "                                                                                                                           
 [4] " sure showy expertise de niro taylor imbues unwed mother patti faux fuckyou confidence can muster "                                                                          
 [5] " deeply felt deadon performance halfway point youve forgiven taylor maturity "                                                                                               
 [6] " verite pretenses girls town less bunch highschoolers movie director cadre writerperformers examining feelings rape relationships american womanhood "                       
 [7] " movies opening scenes sketch easy friendship group four smartsassy high school outsiders verge graduation patti angela bruklin harris emma anna grace nikki aunjanue ellis "
 [8] " minutes film get word nikki swallowed fistful pills bowed life "                                                                                                            
 [9] " remaining girls manage smug nikkis diary grieving mothers home page pattis place investigating root nikkis despair "                                                        
[10] " find cruel galvanizing nikki raped editor newspaper interned privately questioning sanity value world thing happen "                                                        
[11] "shellshocked truth matter three girls begin talk among come realization lives "                                                                                              
[12] "emma says raped last year date football player "                                                                                                                             
[13] "pattis barely sympathetic wondering hell emma thought shirt jocks car "                                                                                                      
[14] " anyway pattis share guys wouldnt take answer "                                                                                                                              
[15] "pained acrimonious debate ensues trio grow angry angry impossibility saying angry weak naive putting "                                                                       
[16] " put "                                                                                                                                                                       
[17] "emma finally asks argument reached fever pitch "                                                                                                                             
[18] " try talk look happens "                                                                                                                                                     
[19] " fight minutes "                                                                                                                                                             
[20] "theres admirable crux picture "                                                                                                                                              
[21] "girls town political film calls action "                                                                                                                                     
[22] " incompleteits never quite sure justify action form take "                                                                                                                   
[23] " trio become crusaders right dignity surely one years stirring movie moments emma lobs concrete block passengerside window damn jocks car right thing "                      
[24] " hang bathroom chatting incessantly scrawling slogans naming names door toilet stall "                                                                                       
[25] " subvert patriarchy emma writes starts hall shame list underneath students begin contribute "                                                                                
[26] " girls silence hecklers take revenge deadbeat father pattis child eventually come facetoface nikkis tormentor "                                                              
[27] "still movie desperately unfinished quality none subsequent exploits particularly satisfying "                                                                                
[28] " keep waiting someone call cops brazen girls nobody thinks "                                                                                                                 
[29] "perhaps searching resolution missing material hand film borrows epigraphs audre lorde queen latifah callin bitch "                                                           
[30] " points well taken unnecessary "                                                                                                                                             
[31] "long characterization little short story girls town less selfcongratulatory taste "                                                                                          
[32] "director jim mckay best known consort r e m s "                                                                                                                              
[33] "michael stipe directed nearly unwatchable tourfilm band girls town first foray feature filmmaking "                                                                          
[34] " movie created scripted committee mckay lead performers shoot shoestring predictably group couldnt secure funding "                                                          
[35] " girls town budget hardly film "                                                                                                                                             
[36] " movies slapdash quality key significance "                                                                                                                                  
[37] "truth told three leads look wise high school thats ok theres onceremoved quality fine spontaneous performances women take skillful look back girls girls wish combination "  
[38] " flaws one gets extra points uncertain head heart noble place "                                                                                                              
